"","SSN","TotalDeaths","PropDeaths","TotalDeath15","TotalDeath16","TotalDeath17","TotalDeath18","da15","da1520","da2024","da2529","da3034","da3539","da4044","da4549","da5054","da5559","da6064","da6569","da7074","da7580","da8085","FentW","FentB","FentH","TotalFent","TotalFent15","TotalFent16","TotalFent17","TotalFent18","HeroinW","HeroinB","HeroinH","TotalHero","TotalHero15","TotalHero16","TotalHero17","TotalHero18","TotalOxy","TotalOxy15","TotalOxyt16","TotalOxyt17","TotalOxyt18","TotalMorph","TotalMorp15","TotalMorp16","TotalMorp17","TotalMorp18","TotalMeth","TotalMeth15","TotalMeth16","TotalMeth17","TotalMeth18","Fent15W","Fent15B","Fent15H","Hero15W","Hero15B","Hero15H","Fent18W","Fent18B","Fent18H","Hero18W","Hero18B"
"1","101",12,0.164654226125137,0,5,4,3,0,0,0,3,1,0,0,2,3,0,0,0,0,0,0,9,0,0,9,9,14,13,12,9,0,0,9,9,14,13,12,3,0,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
"2","102",96,1.3172338090011,10,21,30,35,0,1,3,8,9,10,8,10,10,14,4,0,1,0,0,35,19,13,68,78,89,98,103,33,17,11,63,73,84,93,98,4,1,2,1,0,16,0,5,5,6,9,0,0,0,0,3,1,0,4,0,3,16,8,7,14,5
"3","103",12,0.164654226125137,2,3,4,3,0,0,1,0,1,2,1,3,1,0,0,0,0,0,0,6,0,0,7,9,10,11,10,5,0,0,5,7,8,9,8,2,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,2,0,0,2,0
"4","104",7,0.0960482985729967,2,2,1,2,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,6,0,1,7,9,9,8,9,3,0,1,4,6,6,5,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0
"5","105",13,0.178375411635565,1,3,4,5,0,0,1,3,1,1,1,1,0,1,1,0,0,0,0,7,1,2,10,11,13,14,15,4,2,0,6,7,9,10,11,1,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0
"6","106",3,0.0411635565312843,0,0,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,3,3,4,5,1,0,0,1,1,1,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"7","107",11,0.150933040614709,1,2,3,5,0,0,1,0,2,0,1,0,0,3,1,0,0,0,0,5,1,0,6,7,8,9,11,6,1,1,8,9,10,11,13,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,3,1
"8","108",59,0.809549945115258,6,14,18,21,0,0,3,6,5,3,2,8,9,5,1,1,0,0,0,33,4,1,39,45,53,57,60,31,3,1,35,41,49,53,56,8,4,2,1,1,15,1,3,6,5,6,3,3,3,3,2,0,0,5,0,0,18,1,0,12,0
"9","110",1,0.0137211855104281,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","111",46,0.631174533479693,9,16,8,13,0,4,2,2,11,6,1,2,1,3,2,0,0,0,0,24,3,2,30,39,46,38,43,22,2,2,27,36,43,35,40,4,1,3,0,0,9,3,3,1,2,4,1,1,1,1,0,0,1,4,0,0,11,1,0,7,1
