"SSN","expenditure_sum"
1330,6469
101,3552
1001,325
2101,285
201,4608
1301,1329
1302,688
1701,66
2102,208
202,2256
1901,43
1902,1949
1303,25475
102,83342
1304,7943
401,2316
402,26
501,6045
1305,3316
1501,470
1533,7593
403,1827
301,199
1502,1242
901,68134
1503,2596
1504,2110
1801,3997
701,21493
404,2806
1306,8811
2103,1094
203,11212
2001,5578
1505,16784
405,2089
406,2121
1802,10357
1803,4248
1002,1554
302,1301
2104,622
702,27897
1601,3434
1003,44
204,3576
1401,6942
1402,1769
303,1479
304,2793
1804,3817
1307,2330
1805,4225
1903,33
1506,24723
601,13640
1806,11727
1308,2018
103,10451
407,889
104,1054
105,123
305,5752
306,6264
1403,2844
1904,2250
703,3845
1004,136
408,26226
502,6660
503,47
205,5767
1713,2463
1201,21273
704,6121
1404,4375
1405,5182
409,20425
410,849
1406,932
1407,1826
307,1336
308,3766
717,8127
2002,2322
801,1154
411,16731
206,46047
1602,1361
1005,3664
1006,4039
207,5636
412,3050
1309,945
602,32
106,3614
1202,13375
2003,5719
208,3315
1310,132
603,1226
309,876
1007,4062
310,3354
209,573
504,6876
1408,7976
802,8764
1409,8
604,7448
210,2345
1203,187
1508,160
1008,17502
1204,658
803,7578
1410,758
902,76926
705,7430
212,7214
1101,1969
311,7026
1311,8400
213,1446
312,54573
1205,1536
107,10849
108,116008
2004,1339
804,272
1702,7411
211,162
1703,3956
214,33387
215,4783
216,729
1312,1819
706,70
109,10892
313,17699
1102,2152
1313,14242
217,323
605,0
707,5816
218,2786
2005,1180
1807,142
1314,84
314,1656
1009,3475
315,6252
1411,100
110,29276
219,166
1905,1888
1906,5425
220,2896
805,592
1010,15778
1808,202
2105,70
1907,5925
1315,10327
1316,8
2106,396
1011,7172
111,13305
221,0
2006,478
413,9161
806,106
1012,3804
708,4657
222,4038
414,17476
415,2953
1809,68
1908,16
606,2496
807,1467
2107,11331
903,39858
223,3029
2108,1827
418,4328
416,4134
417,339
316,2455
1603,936
1909,7118
112,28814
1103,2988
113,30
1013,97
1910,6721
1412,1775
1413,33
2109,2790
1911,107
2110,2384
224,13065
904,1757
808,12
1509,6739
225,2958
226,6536
1604,5894
1339,583
1206,280
419,2155
1014,0
1207,3706
1317,1696
1104,10433
1810,5527
227,17809
2007,2832
228,52387
905,1503
1015,7806
1318,3526
1912,75
2111,561
1105,58
607,4177
1106,13837
1319,1022
2112,47
1320,46296
709,575
1510,12659
1511,18714
1208,7849
1414,302827
906,8952
1321,27467
907,4666
2008,2863
1322,114
1016,3785
1415,134
2113,6833
1512,104
1913,24
1347,861
1513,37133
1514,1535
1017,820
420,2324
1515,872
421,166
608,10080
1107,270
1018,1366
1019,5059
229,146
2114,4506
1416,37873
2009,5295
422,2196
114,5526
1516,5229
1605,4534
230,2882
1323,16548
710,160
1324,15464
231,2739
809,6890
1517,34807
1325,4498
1430,2395
115,2124
2115,1510
1704,1063
505,2388
317,10434
232,10992
1417,1500
423,0
233,9432
1326,4293
1327,9971
1518,67
1705,1899
318,2313
2116,1389
1519,2944
810,4754
1811,5226
319,17213
711,10534
116,11610
1328,3937
1329,87
609,5414
234,926
321,4654
320,2551
1418,2025
1419,1557
424,5523
1210,5793
506,4525
1211,18743
1331,2815
235,166
1020,17853
712,53
1812,273
1332,3166
1212,9728
610,187
1420,1409
1333,10456
811,10446
1213,365
1914,28925
713,6046
1813,4564
236,8851
1421,3166
237,6607
322,3026
1423,10117
1422,15223
1424,2252
1426,1268
425,2826
323,10587
324,8824
1427,2653
1425,4650
2010,1396
117,203
812,2696
1335,18389
1334,1272
1428,50520
1214,772
325,6177
238,5158
2011,434150
714,876
813,3518
1915,6927
239,29996
908,16593
1215,2479
715,3522
1606,1143
326,9894
1814,6001
507,3772
118,2622
240,2755
241,16823
716,5804
242,1555
426,23525
508,841
1521,9653
1337,3006
1520,2185
1338,759
1916,18713
1209,3542
243,81
1706,4509
244,33396
2117,115
245,6406
327,2023
246,21525
247,3856
1429,24949
1607,64614
1608,156238
814,2208
1815,1415
328,498
329,5656
1108,761
1707,3998
427,20056
1708,3813
1431,7652
1216,42692
2119,6061
1709,110
1522,647
428,2556
429,221
1217,18013
815,2667
1710,79
