CountyFIPS,County,Co_tot,Year
34001,Atlantic,9855,2017
34001,Atlantic,12804,2018
34001,Atlantic,13972,2019
34003,Bergen,25555,2017
34003,Bergen,18140,2018
34003,Bergen,17586,2019
34005,Burlington,17243,2017
34005,Burlington,12418,2018
34005,Burlington,11628,2019
34007,Camden,39638,2017
34007,Camden,26146,2018
34007,Camden,25000,2019
34009,Cape May,7165,2017
34009,Cape May,4130,2018
34009,Cape May,4142,2019
34011,Cumberland,17463,2017
34011,Cumberland,10126,2018
34011,Cumberland,9356,2019
34013,Essex,53000,2017
34013,Essex,35206,2018
34013,Essex,30986,2019
34015,Gloucester,15841,2017
34015,Gloucester,10154,2018
34015,Gloucester,9664,2019
34017,Hudson,33686,2017
34017,Hudson,26482,2018
34017,Hudson,26746,2019
34019,Hunterdon,1922,2017
34019,Hunterdon,1200,2018
34019,Hunterdon,1052,2019
34021,Mercer,24757,2017
34021,Mercer,16180,2018
34021,Mercer,13920,2019
34023,Middlesex,31574,2017
34023,Middlesex,21868,2018
34023,Middlesex,21038,2019
34025,Monmouth,26018,2017
34025,Monmouth,16486,2018
34025,Monmouth,16361,2019
34027,Morris,11411,2017
34027,Morris,6810,2018
34027,Morris,6586,2019
34029,Ocean,20111,2017
34029,Ocean,12740,2018
34029,Ocean,12890,2019
34031,Passaic,28747,2017
34031,Passaic,20688,2018
34031,Passaic,19124,2019
34033,Salem,3702,2017
34033,Salem,2268,2018
34033,Salem,2200,2019
34035,Somerset,9260,2017
34035,Somerset,6426,2018
34035,Somerset,6128,2019
34037,Sussex,2860,2017
34037,Sussex,1394,2018
34037,Sussex,1422,2019
34039,Union,31248,2017
34039,Union,22088,2018
34039,Union,22040,2019
34041,Warren,3774,2017
34041,Warren,2282,2018
34041,Warren,2518,2019
