Place.Name,SSN,TRACTID,prop_of_ct
manchester twp,"1518","34029720206",0.993454210622096
toms river twp,"1507","34029720206",0.00179889551686341
jackson twp,"1511","34029720206",0.0047468938610406
manchester twp,"1518","34029722001",0.00660978174789209
toms river twp,"1507","34029722001",0.986259102410291
lakewood twp,"1514","34029722001",0.00603185118558955
jackson twp,"1511","34029722001",0.00109926465622744
toms river twp,"1507","34029717502",0.00272872950329517
lakewood twp,"1514","34029717502",0.00814904764074299
jackson twp,"1511","34029717502",0.989122222855962
toms river twp,"1507","34029715700",0.00267450444988575
lakewood twp,"1514","34029715700",0.99724971546577
jackson twp,"1511","34029715700",7.57800843444435e-05
lakewood twp,"1514","34029715500",0.994269978179718
jackson twp,"1511","34029715500",0.00573002182028225
lakewood twp,"1514","34029715600",1
little egg harbor twp,"1516","34029736101",0.999185460416537
tuckerton boro,"1532","34029736101",0.000122316062581191
bass river twp,"0301","34029736101",0.000692223520882151
little egg harbor twp,"1516","34029736105",1
beach haven boro,"1503","34029980100",0.000389368450957659
little egg harbor twp,"1516","34029980100",0.997150171633083
long beach twp,"1517","34029980100",0.00241565443958016
galloway twp,"0111","34029980100",4.48054763794697e-05
little egg harbor twp,"1516","34029736102",0.998045912166457
tuckerton boro,"1532","34029736102",0.0019540878335435
little egg harbor twp,"1516","34029737000",0.0373859216174347
tuckerton boro,"1532","34029737000",0.962614078382565
beach haven boro,"1503","34029738002",0.501290811350291
little egg harbor twp,"1516","34029738002",0.00447098626453523
long beach twp,"1517","34029738002",0.494238202385174
beach haven boro,"1503","34029738001",4.79704846259733e-05
stafford twp,"1530","34029738001",0.000133761642360318
ship bottom boro,"1528","34029738001",7.32667262110258e-06
long beach twp,"1517","34029738001",0.999576582230839
eagleswood twp,"1508","34029738001",0.00023435896955304
pemberton twp,"0329","34005702206",1
plumsted twp,"1523","34029718000",0.996736944004257
north hanover twp,"0326","34029718000",0.000537927382587452
jackson twp,"1511","34029718000",0.000168067660525042
upper freehold twp,"1351","34029718000",5.05524633189107e-05
new hanover twp,"0325","34029718000",0.00250650848931192
woodland twp,"0339","34029739100",0.00219206936902188
pemberton twp,"0329","34029739100",0.00142330951966905
lakehurst boro,"1513","34029739100",0.000409909966594881
manchester twp,"1518","34029739100",0.48413562342948
plumsted twp,"1523","34029739100",0.333210397161045
jackson twp,"1511","34029739100",0.177556414009593
new hanover twp,"0325","34029739100",0.00107227654459551
manchester twp,"1518","34029717400",5.42468520129755e-05
plumsted twp,"1523","34029717400",3.2162809887494e-05
jackson twp,"1511","34029717400",0.9999135903381
berkeley twp,"1505","34029720101",0.00298435378282665
lakehurst boro,"1513","34029720101",0.000621859517071737
manchester twp,"1518","34029720101",0.993667427694118
toms river twp,"1507","34029720101",0.000571518093071242
jackson twp,"1511","34029720101",0.0021548409129119
lakehurst boro,"1513","34029721000",0.960584609076667
manchester twp,"1518","34029721000",0.0394153909233332
lakehurst boro,"1513","34029720205",0.000156310045038327
manchester twp,"1518","34029720205",0.997670026538731
jackson twp,"1511","34029720205",0.00217366341623073
woodland twp,"0339","34029720001",0.00598583483456618
lacey twp,"1512","34029720001",0.001900039154011
