Place.Name,SSN,TRACTID,pct_of_mun_pop
manchester twp,"1518","34029720206",0.0318390512885587
manchester twp,"1518","34029720206",0.109152573656646
toms river twp,"1507","34029720206",0
jackson twp,"1511","34029720206",0
manchester twp,"1518","34029722001",0
toms river twp,"1507","34029722001",0.0153960324756599
toms river twp,"1507","34029722001",0.0227506839604355
toms river twp,"1507","34029722001",0.0193945704063888
lakewood twp,"1514","34029722001",0
jackson twp,"1511","34029722001",0
toms river twp,"1507","34029717502",0
lakewood twp,"1514","34029717502",0
jackson twp,"1511","34029717502",0.0208958914756067
jackson twp,"1511","34029717502",0.0905783021867383
jackson twp,"1511","34029717502",0.0173985233334511
toms river twp,"1507","34029715700",0
lakewood twp,"1514","34029715700",0.02879032978375
lakewood twp,"1514","34029715700",0.0794239949187698
jackson twp,"1511","34029715700",0
lakewood twp,"1514","34029715500",0.00825699909689072
lakewood twp,"1514","34029715500",0.0429721227037702
lakewood twp,"1514","34029715500",0.0785903555868722
jackson twp,"1511","34029715500",0
lakewood twp,"1514","34029715600",0.0394986254875301
lakewood twp,"1514","34029715600",0.044242430257138
little egg harbor twp,"1516","34029736101",0.114591327705295
little egg harbor twp,"1516","34029736101",0.13584036838066
little egg harbor twp,"1516","34029736101",0.0442728319263239
tuckerton boro,"1532","34029736101",0
bass river twp,"0301","34029736101",0
little egg harbor twp,"1516","34029736105",0.0440330007674597
little egg harbor twp,"1516","34029736105",0.0580871066768995
little egg harbor twp,"1516","34029736105",0.0484458940905602
little egg harbor twp,"1516","34029736105",0.0267651573292402
beach haven boro,"1503","34029980100",0
little egg harbor twp,"1516","34029980100",0
long beach twp,"1517","34029980100",0
galloway twp,"0111","34029980100",0
little egg harbor twp,"1516","34029736102",0.0841327705295472
little egg harbor twp,"1516","34029736102",0.129796623177283
little egg harbor twp,"1516","34029736102",0.0779930928626247
little egg harbor twp,"1516","34029736102",0.0671047582501919
tuckerton boro,"1532","34029736102",0
little egg harbor twp,"1516","34029737000",0
tuckerton boro,"1532","34029737000",0.143491124260355
tuckerton boro,"1532","34029737000",0.401479289940828
tuckerton boro,"1532","34029737000",0.455029585798817
beach haven boro,"1503","34029738002",0.0989917506874427
beach haven boro,"1503","34029738002",0.493125572868928
beach haven boro,"1503","34029738002",0.40788267644363
little egg harbor twp,"1516","34029738002",0
long beach twp,"1517","34029738002",0.0661764705882353
beach haven boro,"1503","34029738001",0
stafford twp,"1530","34029738001",0
ship bottom boro,"1528","34029738001",0
long beach twp,"1517","34029738001",0.239117647058824
long beach twp,"1517","34029738001",0.187352941176471
long beach twp,"1517","34029738001",0
long beach twp,"1517","34029738001",0.179705882352941
eagleswood twp,"1508","34029738001",0
pemberton twp,"0329","34005702206",0.0752003513009112
plumsted twp,"1523","34029718000",0.137757490636704
plumsted twp,"1523","34029718000",0.335088951310861
plumsted twp,"1523","34029718000",0.113998127340824
plumsted twp,"1523","34029718000",0.409644194756554
north hanover twp,"0326","34029718000",0
jackson twp,"1511","34029718000",0
upper freehold twp,"1351","34029718000",0
new hanover twp,"0325","34029718000",0
woodland twp,"0339","34029739100",0
pemberton twp,"0329","34029739100",0
lakehurst boro,"1513","34029739100",0
manchester twp,"1518","34029739100",0.0241100062293796
manchester twp,"1518","34029739100",0.0119281083450615
plumsted twp,"1523","34029739100",0.00351123595505618
jackson twp,"1511","34029739100",0
new hanover twp,"0325","34029739100",0
manchester twp,"1518","34029717400",0
plumsted twp,"1523","34029717400",0
jackson twp,"1511","34029717400",0.0456424206026778
jackson twp,"1511","34029717400",0.0379058183488183
jackson twp,"1511","34029717400",0.0199420638004734
berkeley twp,"1505","34029720101",0
lakehurst boro,"1513","34029720101",0
manchester twp,"1518","34029720101",0.0844657730198648
manchester twp,"1518","34029720101",0.0233486376116097
manchester twp,"1518","34029720101",0.0195879380753524
manchester twp,"1518","34029720101",0.0194956509701682
toms river twp,"1507","34029720101",0
jackson twp,"1511","34029720101",0
lakehurst boro,"1513","34029721000",0.327991054789415
lakehurst boro,"1513","34029721000",0.191576593365635
lakehurst boro,"1513","34029721000",0.48043235184495
manchester twp,"1518","34029721000",0
lakehurst boro,"1513","34029720205",0
manchester twp,"1518","34029720205",0.0265325427404656
manchester twp,"1518","34029720205",0.0285167155019265
manchester twp,"1518","34029720205",0.0170500426827861
jackson twp,"1511","34029720205",0
woodland twp,"0339","34029720001",0
lacey twp,"1512","34029720001",0
manchester twp,"1518","34029720001",0.0268094040560183
manchester twp,"1518","34029720001",0.033569434510763
manchester twp,"1518","34029720001",0.0390374454929285
beachwood boro,"1504","34029731204",0
south toms river boro,"1529","34029731204",0
berkeley twp,"1505","34029731204",0.0465185405365237
berkeley twp,"1505","34029731204",0.041192935523024
lacey twp,"1512","34029731204",0
manchester twp,"1518","34029731204",0
southampton twp,"0333","34005702208",0
woodland twp,"0339","34005702208",0
pemberton twp,"0329","34005702208",0.0570132103780144
pemberton twp,"0329","34005702208",0.0255059099059538
pemberton twp,"0329","34005702208",0.0298605774508728
pemberton twp,"0329","34005702208",0.037325721813591
pemberton twp,"0329","34005702208",0.092106707651773
berkeley twp,"1505","34029720103",0
lacey twp,"1512","34029720103",0
manchester twp,"1518","34029720103",0.03153911819671
manchester twp,"1518","34029720103",0.0265325427404656
manchester twp,"1518","34029720103",0.0131509124887525
manchester twp,"1518","34029720103",0.0388759430588561
berkeley twp,"1505","34029731203",0.0206831636570806
berkeley twp,"1505","34029731203",0.0224170815684526
manchester twp,"1518","34029731203",0
pemberton twp,"0329","34005702207",0.0747978190068431
pemberton twp,"0329","34005702207",0.0384967248508801
manchester twp,"1518","34029720102",0.027086265371571
manchester twp,"1518","34029720102",0.0183882057079575
manchester twp,"1518","34029720102",0.0140737835405948
manchester twp,"1518","34029720102",0.0224257665597674
pemberton twp,"0329","34005704801",0.0741025359534526
wrightstown boro,"0340","34005704801",0
north hanover twp,"0326","34005704801",0
new hanover twp,"0325","34005704801",0.107027027027027
new hanover twp,"0325","34005704801",0.0595945945945946
pemberton twp,"0329","34005704802",0
wrightstown boro,"0340","34005704802",0
springfield twp,"0334","34005704802",0
north hanover twp,"0326","34005704802",0
new hanover twp,"0325","34005704802",0.0289189189189189
new hanover twp,"0325","34005704802",0.0818918918918919
new hanover twp,"0325","34005704802",0.603648648648649
wrightstown boro,"0340","34005704500",1
springfield twp,"0334","34005704500",0
plumsted twp,"1523","34005704500",0
north hanover twp,"0326","34005704500",0.0371702637889688
north hanover twp,"0326","34005704500",0.266986410871303
north hanover twp,"0326","34005704500",0.114175326405542
chesterfield twp,"0307","34005704500",0
upper freehold twp,"1351","34005704500",0
hamilton twp,"1103","34005704500",0
new hanover twp,"0325","34005704500",0
wrightstown boro,"0340","34005982111",0
north hanover twp,"0326","34005982111",0
new hanover twp,"0325","34005982111",0.118918918918919
north hanover twp,"0326","34005702101",0.391420197175593
north hanover twp,"0326","34005702101",0.0155875299760192
north hanover twp,"0326","34005702101",0.174660271782574
new hanover twp,"0325","34005702101",0
pemberton twp,"0329","34005702210",0.0777619204449811
pemberton twp,"0329","34005702210",0.0863980678449885
new hanover twp,"0325","34005702210",0
pemberton twp,"0329","34005702209",0.0719434991034508
pemberton twp,"0329","34005702209",0.04361986313902
new hanover twp,"0325","34005702209",0
port republic city,"0120","34005704700",0
little egg harbor twp,"1516","34005704700",0
washington twp,"0336","34005704700",
barnegat twp,"1533","34005704700",0
shamong twp,"0332","34005704700",0
bass river twp,"0301","34005704700",1
tabernacle twp,"0335","34005704700",0
southampton twp,"0333","34005704700",0
woodland twp,"0339","34005704700",1
lacey twp,"1512","34005704700",0
pemberton twp,"0329","34005704700",0
egg harbor city,"0107","34005704700",0
hammonton town,"0113","34005704700",0
mullica twp,"0117","34005704700",0
galloway twp,"0111","34005704700",0
beach haven boro,"1503","34029736001",0
little egg harbor twp,"1516","34029736001",0.116749808135073
little egg harbor twp,"1516","34029736001",0
little egg harbor twp,"1516","34029736001",0.0521872601688411
tuckerton boro,"1532","34029736001",0
long beach twp,"1517","34029736001",0
eagleswood twp,"1508","34029736001",0
bass river twp,"0301","34029736001",0
woodland twp,"0339","34029736001",0
little egg harbor twp,"1516","34029736002",0
stafford twp,"1530","34029736002",0
long beach twp,"1517","34029736002",0
eagleswood twp,"1508","34029736002",1
little egg harbor twp,"1516","34029735002",0
stafford twp,"1530","34029735002",0.0512318546152994
stafford twp,"1530","34029735002",0.0520075351826543
stafford twp,"1530","34029735002",0.10357182432682
stafford twp,"1530","34029735002",0.0378236619510213
stafford twp,"1530","34029735002",0.100653787906771
eagleswood twp,"1508","34029735002",0
stafford twp,"1530","34029735001",0.0464300225316736
stafford twp,"1530","34029735001",0.0792302293798249
stafford twp,"1530","34029735001",0.131681010600968
barnegat twp,"1533","34029735001",0
little egg harbor twp,"1516","34029734001",0
stafford twp,"1530","34029734001",0
barnegat twp,"1533","34029734001",0.122043730477465
barnegat twp,"1533","34029734001",0.0475680499776885
barnegat twp,"1533","34029734001",0.190539937527889
ocean twp,"1520","34029734001",0
bass river twp,"0301","34029734001",0
woodland twp,"0339","34029734001",0
lacey twp,"1512","34029734001",0
washington twp,"0336","34005703600",
shamong twp,"0332","34005703600",0
tabernacle twp,"0335","34005703600",0.255969714618521
tabernacle twp,"0335","34005703600",0.318578916715201
tabernacle twp,"0335","34005703600",0.241991846243448
