"SSN","median_rent","median_home_value","percent_housing_cost_burdened"
"1001",1412,385300,28.35
"1002",1245,326500,27.1
"1003",1211.5,321550,30.25
"1004",936,514750,28.2
"1005",1531,413700,27.8
"1006",NA,404800,29.2
"1007",1352,443250,35.2
"1008",NA,445600,32
"1009",1513.5,367800,37.55
"101",NA,172950,49.5
"1010",1351.5,406100,29.65
"1011",1412,389500,31.55
"1012",1239,357200,27.1
"1013",1350.5,333200,26.3
"1014",1239,357200,27.1
"1015",1378,352600,27.3
"1016",1313,398500,32.1
"1017",1314,441900,35.2
"1018",1905,413700,26.2
"1019",NA,378700,29.3
"102",NA,174100,57.4
"1020",1247,353500,27.3
"1021",NA,445600,31.05
"1022",NA,458700,27.4
"1023",1246,444600,32.1
"1024",1835,531000,29.3
"1025",1511,380500,27.1
"1026",1693,403000,35.2
"103",NA,240400,45.3
"104",1296,187500,43.3
"105",1125,186200,36.5
"106",1481.5,244250,35.6
"107",1342,227650,33.3
"108",NA,NA,NA
"109",1429,198400,40
"110",1159,219700,36.8
"1101",NA,400450,28.75
"1102",NA,212200,38.4
"1103",NA,NA,35.8
"1104",1313,285300,40.8
"1105",1836,491950,27.35
"1106",1788,421300,30.9
"1107",NA,319000,33.8
"1108",1636.5,484200,30.1
"111",NA,NA,NA
"1111",NA,NA,NA
"1112",NA,355400,29.8
"1113",NA,427300,30.5
"1114",1990,575200,29.7
"112",1374.5,207400,39.65
"113",1183,235400,36.9
"114",1444,241700,39.9
"115",1449,446150,40.35
"116",NA,477100,40.7
"117",1158,240600,35.3
"118",1477,232550,40.3
"119",1194,172900,54.5
"120",1265.5,229400,38.45
"1201",1428,NA,43.8
"1202",1460,410000,26.6
"1203",1414,274600,40.2
"1204",NA,336900,36.5
"1205",NA,347000,35.2
"1206",NA,327200,34.8
"1207",1434,360350,39.4
"1208",NA,276650,38.15
"1209",NA,NA,33.4
"121",1422,276800,40.3
"1210",NA,380800,30.7
"1211",1424,316450,35.8
"1212",NA,423200,32.9
"1213",NA,341500,33.4
"1214",NA,282750,48.8
"1215",NA,341800,34.65
"1216",1314.5,253600,50.4
"1217",NA,326000,34.75
"1218",NA,526700,28.1
"1219",NA,NA,40
"122",1152,239700,50.55
"1220",1621,268400,45.8
"1221",NA,437050,30
"1222",NA,329200,32
"1223",NA,334900,39.15
"1224",NA,336900,34.8
"1225",NA,NA,37.85
"123",1374.5,197450,42.85
"1301",NA,NA,NA
"1302",NA,465000,36
"1303",1163,369200,51.9
"1304",1184.5,347250,36
"1305",NA,NA,NA
"1306",1408,476350,36.75
"1307",NA,NA,NA
"1308",1655,579350,34.6
"1309",NA,NA,35.1
"1310",1211,552300,46.6
"1311",NA,NA,37.4
"1312",NA,491150,36.9
"1313",2274,595100,33.4
"1314",1912,362500,35.6
"1315",1574.5,325400,42.55
"1316",NA,435600,35.9
"1317",1195,437700,41.5
"1318",NA,477250,33.75
"1319",NA,NA,38.45
"1320",1163,377600,42.4
"1321",1304,249400,42.8
"1322",NA,267100,41.6
"1323",1453,516200,35.9
"1324",1156.5,567800,46.2
"1325",1303,418850,44.95
"1326",NA,465800,32.05
"1327",1329,630100,34.9
"1328",NA,467400,30.7
"1329",1750,344900,30.9
"1330",NA,337550,36.2
"1331",NA,NA,NA
"1332",NA,465000,31.6
"1333",1674,491400,40.9
"1334",NA,NA,NA
"1335",1281,322350,45.75
"1336",NA,NA,37.8
"1337",NA,378600,39.3
"1338",1453,452300,38.4
"1339",NA,322200,38.4
"1340",1625.5,436450,36.65
"1341",NA,523700,33.85
"1342",2274,708100,33.9
"1343",NA,NA,NA
"1344",1389.5,674250,37.15
