SSNCode,Pop2018a,Male18,Fem18,a05,a59,a1014,a1519,a2024,a2534,a3544,a4554,a5559 ,a6064,a6574,a7584,a85,a1564,w18,wp18,b18,bp18,ai18,aip18,a18,ap18,o18,op18,his18,hisp18
101,8289,4031,4258,510,427,439,441,570,834,882,1088,637,610,1062,479,310,5062,6574,0.793,741,0.089,0,0,427,0.052,299,0.036,774,0.09
102,38372,19526,18846,2917,2679,2494,2031,2744,5603,4756,5150,2388,2377,3020,1722,491,25049,12003,0.313,13619,0.355,140,0.004,6493,0.169,4583,0.119,11877,0.31
103,8966,4235,4731,262,292,351,304,328,991,815,1183,942,949,1459,751,339,5512,8217,0.916,124,0.014,11,0.001,273,0.03,164,0.018,665,0.074
104,4422,2456,1966,323,264,340,239,193,680,590,556,301,157,413,327,39,2716,3275,0.741,282,0.064,7,0.002,140,0.032,605,0.137,1245,0.282
105,7366,3675,3691,476,352,423,563,398,1068,872,738,570,620,853,324,109,4829,5882,0.799,723,0.098,185,0.025,51,0.007,385,0.052,1138,0.154
106,457,219,238,24,27,25,31,23,48,55,87,51,31,42,9,4,326,436,0.954,1,0.002,0,0,6,0.013,0,0,7,0.015
108,43002,20110,22892,2901,2882,2942,3186,2034,4929,5085,6837,3470,2887,3753,1669,427,28428,29198,0.679,3640,0.085,85,0.002,5000,0.116,2911,0.068,7835,0.182
107,4153,2112,2041,376,349,263,298,225,740,410,606,153,175,396,50,112,2607,2174,0.523,958,0.231,29,0.007,303,0.073,527,0.127,1066,0.257
109,1752,897,855,103,70,72,90,200,193,149,399,122,164,137,37,16,1317,1677,0.957,24,0.014,0,0,8,0.005,16,0.009,88,0.05
110,1768,933,835,96,95,91,114,113,154,204,315,128,118,198,89,53,1146,1595,0.902,59,0.033,0,0,19,0.011,4,0.002,120,0.068
111,36437,17362,19075,1667,1765,1687,3127,3625,4223,3355,5350,2965,2418,3399,1985,871,25063,25709,0.706,4253,0.117,84,0.002,3566,0.098,1559,0.043,4221,0.116
112,26218,13157,13061,1244,1586,2112,1400,1829,3272,3684,3960,2001,1653,2201,1038,238,17799,16910,0.645,3758,0.143,339,0.013,2334,0.089,1523,0.058,3916,0.149
113,14284,6992,7292,429,942,1282,1035,763,1479,1841,2179,976,745,1229,921,463,9018,11725,0.821,445,0.031,8,0.001,146,0.01,1384,0.097,3057,0.214
114,6826,3221,3605,365,460,398,367,378,534,685,1150,566,484,715,435,289,4164,6179,0.905,104,0.015,3,0,301,0.044,58,0.008,405,0.059
115,828,376,452,19,31,21,20,17,24,44,94,120,82,187,111,58,401,805,0.972,5,0.006,2,0.002,7,0.008,0,0,7,0.008
116,6076,2923,3153,172,146,205,86,291,560,331,638,632,646,1334,772,263,3184,5687,0.936,118,0.019,18,0.003,98,0.016,29,0.005,152,0.025
117,5987,2925,3062,268,318,359,367,517,503,678,1057,578,333,568,351,90,4033,5278,0.882,334,0.056,0,0,20,0.003,133,0.022,540,0.09
118,8344,3771,4573,299,401,865,594,415,645,1149,1364,574,676,786,390,186,5417,7416,0.889,146,0.017,3,0,478,0.057,128,0.015,711,0.085
119,20374,9650,10724,1467,1336,1310,1590,1626,3031,2665,2475,1484,965,1397,652,376,13836,8257,0.405,8741,0.429,55,0.003,369,0.018,1955,0.096,8860,0.435
120,1178,602,576,44,43,52,68,53,169,149,177,108,56,156,35,68,780,1144,0.971,12,0.01,0,0,11,0.009,0,0,5,0.004
121,10460,4787,5673,589,503,655,594,894,1157,1026,1359,1023,776,1172,495,217,6829,8185,0.783,1528,0.146,0,0,487,0.047,113,0.011,1016,0.097
122,10232,4851,5381,606,442,403,550,799,844,968,1378,1103,742,1211,864,322,6384,8307,0.812,446,0.044,0,0,980,0.096,185,0.018,2368,0.231
123,2748,1215,1533,111,213,73,167,106,168,254,272,245,215,515,367,42,1427,2281,0.83,258,0.094,0,0,50,0.018,6,0.002,56,0.02
