"SSN","dtC2015","dtC2016","dtC2017","dtC2018","rAll","r2015","r2016","r2017","r2018"
101,0,5,4,3,240.857367252468,0,100.357236355195,80.2857890841562,60.2143418131171
102,10,21,30,35,382.884554281358,39.8838077376415,83.7559962490471,119.651423212924,139.593327081745
103,2,3,4,3,213.350475438311,35.5584125730519,53.3376188595778,71.1168251461038,53.3376188595778
104,2,2,1,2,258.419738158513,73.8342109024322,73.8342109024322,36.9171054512161,73.8342109024322
105,1,3,4,5,268.789468947489,20.6761129959607,62.0283389878821,82.7044519838428,103.380564979804
106,0,0,1,2,825.818395552348,0,0,275.272798517449,550.545597034898
107,1,2,3,5,428.930369135497,38.9936699214088,77.9873398428177,116.981009764227,194.968349607044
108,6,14,18,21,194.477374273509,19.7773600956111,46.1471735564258,59.3320802868332,69.2207603346387
109,0,0,0,0,0,0,0,0,0
110,0,0,1,0,85.8589654015193,0,0,85.8589654015193,0
111,9,16,8,13,182.62231928221,35.7304537726064,63.5208067068558,31.7604033534279,51.6106554493203
112,8,12,3,8,174.61167783073,45.0610781498659,67.5916172247988,16.8979043061997,45.0610781498659
113,2,9,9,10,333.79758438621,22.253172292414,100.139275315863,100.139275315863,111.26586146207
114,1,1,1,2,146.304346817636,29.2608693635273,29.2608693635273,29.2608693635273,58.5217387270546
115,0,2,0,0,3228.55414128416,0,3228.55414128416,0,0
116,2,1,1,2,188.678516888781,62.8928389629272,31.4464194814636,31.4464194814636,62.8928389629272
117,1,4,3,4,297.948111293314,24.8290092744428,99.3160370977714,74.4870278233285,99.3160370977714
118,4,5,0,3,223.383850003234,74.4612833344113,93.0766041680142,0,55.8459625008085
119,2,5,8,10,188.487632854338,15.0790106283471,37.6975265708676,60.3160425133882,75.3950531417353
120,0,0,0,0,0,0,0,0,0
121,3,3,5,4,225.539653031318,45.1079306062635,45.1079306062635,75.1798843437725,60.143907475018
122,2,9,5,10,408.518797085385,31.4245228527219,141.410352837249,78.5613071318047,157.122614263609
123,2,0,1,2,1009.77405307271,403.909621229085,0,201.954810614542,403.909621229085
201,0,1,1,2,93.352881885542,0,23.3382204713855,23.3382204713855,46.676440942771
202,1,1,0,0,231.747946587681,115.87397329384,115.87397329384,0,0
203,2,1,1,2,32.6191768754923,10.8730589584974,5.43652947924872,5.43652947924872,10.8730589584974
204,0,1,0,1,34.1174256080882,0,17.0587128040441,0,17.0587128040441
205,1,0,4,0,118.844546962296,23.7689093924591,0,95.0756375698365,0
206,5,3,3,2,80.8349123652351,31.0903509097058,18.6542105458235,18.6542105458235,12.4361403638823
207,2,0,0,3,88.3504864311791,35.3401945724716,0,0,53.0102918587075
208,0,0,0,1,18.3469193963816,0,0,0,18.3469193963816
209,1,0,0,0,32.0467236369026,32.0467236369026,0,0,0
210,0,1,2,4,61.5280641904921,0,8.78972345578459,17.5794469115692,35.1588938231384
211,1,3,2,5,82.0781234046367,7.4616475822397,22.3849427467191,14.9232951644794,37.3082379111985
212,1,1,2,3,107.868282420186,15.4097546314552,15.4097546314552,30.8195092629104,46.2292638943655
213,0,0,0,0,0,0,0,0,0
214,1,0,0,2,61.0051957179435,20.3350652393145,0,0,40.670130478629
215,1,1,2,2,31.8635241778362,5.3105873629727,5.3105873629727,10.6211747259454,10.6211747259454
216,0,0,1,0,33.0820172603474,0,0,33.0820172603474,0
217,1,3,4,2,46.3820130458823,4.63820130458823,13.9146039137647,18.5528052183529,9.27640260917645
218,1,3,0,0,39.893644683389,9.97341117084724,29.9202335125417,0,0
219,3,4,2,3,53.5033753714801,13.37584384287,17.83445845716,8.91722922858002,13.37584384287
220,1,1,1,0,44.2204295312269,14.7401431770756,14.7401431770756,14.7401431770756,0
221,5,3,6,12,116.429416467816,22.390272397657,13.4341634385942,26.8683268771884,53.7366537543767
222,1,1,1,0,42.0623495579277,14.0207831859759,14.0207831859759,14.0207831859759,0
223,4,1,7,10,70.3225423965179,12.7859167993669,3.19647919984172,22.3753543988921,31.9647919984172
224,0,0,1,1,69.4265394220726,0,0,34.7132697110363,34.7132697110363
225,1,0,0,2,36.8958463633764,12.2986154544588,0,0,24.5972309089176
226,1,0,0,0,45.5573290550512,45.5573290550512,0,0,0
227,0,2,0,0,30.0649867817418,0,30.0649867817418,0,0
228,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0
230,0,3,4,1,104.357683730878,0,39.1341313990794,52.1788418654392,13.0447104663598
