SSN,bike_path_ft_p_mile,bikes_ft_p_mile
"0101",1067.41411967272,836.664052693912
"0102",446.404242167326,
"0107",346.143536120935,90.7734233277989
"0108",439.036896821636,428.541060406641
"0109",795.726748189629,
"0111",516.282158458129,284.556699723381
"0112",153.820773329251,140.751815195247
"0113",105.168840819652,
"0114",4191.89888702214,4177.88585901264
"0115",25551.263984521,25551.263984521
"0118",4223.1886667125,4223.1886667125
"0119",387.01855112195,387.01855112195
"0120",695.231292002839,148.750853132962
"0121",1626.78793464228,1619.93787355391
"0201",5641.59904201133,
"0202",22583.260645468,10406.0569358797
"0203",2176.78153293942,
"0204",102.45553101157,
"0205",210.132416724358,
"0207",4659.70224722253,
"0208",410.667585548693,
"0209",3029.01560573368,771.544286978917
"0213",19198.1660269043,19149.6772847146
"0214",8540.31286460559,
"0215",822.742981007546,
"0216",11379.4164088083,
"0217",29.1641289686162,
"0219",5411.21244274474,1976.61137382625
"0220",2764.72171025409,
"0222",4885.79590876135,
"0223",1507.28035861551,
"0224",2280.54502623036,
"0226",5870.35973748824,
"0227",3122.07414538681,
"0228",5781.72133148928,
"0229",5106.71754518749,
"0231",9.25352133755521,
"0232",26.5430858789951,
"0233",13602.7759594706,240.868388806754
"0237",392.71491789404,
"0238",122.898541956615,
"0239",236.882471747934,
"0242",10363.6512352977,72.6869104190846
"0243",3919.96679647042,
"0244",105.146994710767,
"0246",1207.56289969682,
"0247",178.758244984268,
"0248",2919.12715806566,
"0249",1165.08808486108,
"0250",4982.59501942781,
"0251",2096.80215513936,40.0437178471319
"0252",295.429596369625,
"0253",430.426201046853,
"0255",8306.11290207788,7692.97752144442
"0258",460.546600720541,
"0260",2132.59143621078,963.480636884074
"0261",14327.055367685,
"0264",2290.55211245996,881.854498136796
"0265",5980.01158702269,
"0266",297.529220796581,
"0267",712.618909295615,
"0270",405.156801345183,
"0301",17.3744898880912,
"0303",5516.3867204352,5516.3867204352
"0304",636.390644394512,636.390644394512
"0305",2607.75732980365,1261.79004370718
"0306",1203.53508136845,633.762265537199
"0308",1071.81495749363,1071.81495749363
"0309",9420.96707115532,5426.97722266246
"0310",1468.83822786316,166.041965330975
"0311",599.466539134207,599.466539134207
"0312",1022.94835041855,1022.94835041855
"0313",1714.5394774808,1073.507391883
"0314",7003.80332047462,7003.80332047462
"0315",2526.59840936896,1670.20943565305
"0316",5097.72387480434,1693.68734473169
"0318",1390.73107885117,1390.73107885117
"0319",66.6509391512104,66.6509391512104
"0320",64.3669399415654,17.831763592502
"0321",407.927159108284,
"0322",6577.79701443595,5608.04690983114
"0323",1181.93610347655,1181.93610347655
"0324",810.083047562734,384.145693862992
"0325",35.7339377141961,
"0326",24.4958103548518,24.4958103548518
"0327",15912.3147686061,1835.87693146615
"0328",5011.70714717748,4865.37066062402
"0329",517.914772369332,168.334235216263
"0331",7801.03857153001,7801.03857153001
"0332",72.1301665851576,
"0333",104.882668742584,11.0702623295889
"0334",67.4673357475665,67.4673357475665
"0335",281.891636459847,
"0336",1727.38286522292,1220.98176788242
"0338",452.949013411577,215.74280997911
"0339",1450.56346191756,
"0401",1777.27550646076,1777.27550646076
"0404",45.2587539523529,
"0405",1579.14581644903,
"0406",1381.34291913783,
"0408",4256.62772431838,3307.87972992915
"0409",3698.39344298025,1198.52039732408
"0412",4952.12672542364,4711.68320985896
"0413",13503.6711938652,7272.30567682084
"0414",388.098690107708,
"0415",2441.6683100866,658.750053412144
"0416",311.856503875158,242.334379014467
"0417",2236.69741609946,754.430606554761
"0418",4262.74727037551,3338.90386930406
"0422",2403.528049325,1286.15913748768
"0424",9379.59704712217,9379.59704712217
"0425",3305.16348617111,2784.19888325966
"0427",1595.1677068724,655.506590943089
"0428",316.291073775336,
"0430",1333.93324347135,1333.93324347135
"0433",41062.2614981603,
"0434",1251.45734728318,728.038706343421
"0435",464.501212473161,
"0436",333.797502100333,
"0501",155.438936156109,
"0502",1292.34630631376,
"0504",855.04610074267,43.9517585776418
"0505",1329.5663380986,697.476204011724
"0506",541.074573254601,521.350613950254
"0507",3698.05819417617,923.660880191447
"0508",1281.63097950358,1268.38496520027
"0510",439.49041767627,
"0511",17.7296129287715,6.91825887424386
"0514",939.371703170383,
"0515",3677.37235282671,3677.37235282671
"0516",2398.45956687283,2398.45956687283
"0601",2768.15149361153,
"0602",359.521271671972,359.521271671972
"0604",286.619102021122,
"0605",101.450583814994,
"0606",464.889929356819,
"0607",575.914648788027,
"0610",47.8690650852698,
"0613",3.0243782107568,
"0702",217.546553086382,148.454532187347
"0703",7438.89114431773,
"0704",31890.6445391719,2013.17460767176
"0705",463.540413184813,
"0706",4002.85548713563,
"0708",67.7081918730778,
"0710",8.56523390277168,
"0711",4088.32256650889,
"0712",1172.41467613753,
"0713",621.931554732343,
"0714",1064.22865440555,158.780892620861
"0715",1012.03166318825,
"0716",21.5240739910818,21.5240739910818
"0720",16299.3360022157,4805.79973938934
"0721",7700.625562455,
"0722",112.759861956983,37.4833994198248
"0801",2902.9332373386,2288.35848875629
"0802",1057.18832457795,
"0803",5.51857636398519,
"0804",838.748451962641,838.748451962641
"0805",93.1928140080613,
"0806",1129.47603112313,
"0809",384.743420047646,
"0810",3027.86626545161,141.755611610097
"0811",916.331923744534,723.044935187267
"0814",73.5017967320529,
"0815",558.018366419606,
"0818",711.918832632572,69.5999062542445
"0901",1768.53509536389,1608.7253705133
"0904",215.547369030562,
"0905",5292.51944138762,4722.86971856682
"0906",3039.36195947463,816.280769102983
"0907",588.699414729361,588.699414729361
"0908",101.222405229748,
"0909",728.036186682551,583.734892237067
"0911",3091.72704767227,3041.26373363392
"1001",527.798589239003,215.635836235282
"1002",1387.20514245928,
"1004",18861.8755661485,
"1005",1053.40840884836,1053.40840884836
"1006",548.268409242482,
"1007",673.939852981387,522.278584165971
"1008",456.802446497386,
"1010",1349.12866073619,1275.08418735767
"1011",7490.66433716232,7209.30714604089
"1013",388.758594600528,388.758594600528
"1014",25676.104039284,2254.59430984924
"1015",963.080814003901,
"1016",2215.14992052086,1469.50681369397
"1017",8590.67897000424,8590.67897000424
"1019",2546.3116506762,
"1021",223.532400044382,
"1022",320.309617270846,
"1023",14205.5236720162,14205.5236720162
"1025",1314.00452913324,
"1026",3332.76915435183,
"1101",651.688721336646,
"1102",4800.46005514872,2699.30857736876
"1103",648.203164353181,610.940791701227
"1104",4421.44320154541,
"1106",3368.84432216319,1469.17244764718
"1107",6212.50487967343,5297.51594798967
"1108",81.695619964614,
"1111",5587.73313456161,4331.03218890338
"1112",741.53558983278,51.2518141502896
"1113",5444.82724275065,3128.75700872594
"1114",10136.936723189,3915.49774150201
"1201",210.880563989497,
"1204",4339.31027618267,
"1205",1450.80454190757,801.737133484426
"1207",3313.42237262968,3313.42237262968
"1209",1336.20983723268,176.648857049849
"1210",5128.54412478987,2062.74123444182
"1211",116.380496001169,
"1212",2273.57782273899,1960.39491225095
"1213",148.702702942602,
"1214",3723.08960645184,1749.46524219377
"1215",516.144210807354,
"1216",1069.44865640617,1069.44865640617
"1217",2587.35010321717,1047.70461138955
"1218",9906.25654333765,8701.17453850068
"1219",682.244804663657,
"1220",715.184368906082,
"1221",1894.58308226675,997.493445011481
"1222",30.4792380099435,
"1225",1411.86835234449,510.176153975905
"1301",3227.34179133881,
"1304",8933.11351522616,8933.11351522616
"1315",184.379191415595,
"1316",367.365431081667,367.365431081667
"1318",4804.20564302379,
"1319",2.92323951182882,
"1321",728.380224231095,728.380224231095
"1322",5943.73306562469,5943.73306562469
"1323",1050.76681681492,
"1325",1817.48603031449,1788.31345037606
"1326",714.702719709382,
"1328",1029.689554615,1029.689554615
"1329",4114.84393596139,4074.02972804826
"1330",843.997233111911,393.118929453458
"1331",3653.94921003495,1118.12867693104
"1334",29.3918740019811,29.3918740019811
"1337",92.6934550939728,
"1338",1336.7681063319,
"1339",1125.48950429432,661.346071225966
"1340",259.750352878455,
"1344",405.070485523708,
"1350",8087.03586561611,6248.62288355602
"1351",1818.8188951643,338.058297069919
"1352",1280.81477478309,1242.01150536494
"1353",1821.21577371375,131.614377417864
