"","GEOID","occupancy_rate","vacancy_rate","multiunit_struct","mobile_home_rate","pop_20yrs_plus","no_vehicle","public_transit","NAME","mobile_home","multiunits_10_to_19","multiunits_20_to_49","multiunits_50plus","multiunits_five_to_nine","multiunits_three_or_four","multiunits_two","occupied_owner","occupied_renter","occupied_units","pop_own_90_99","pop_own_bfr89","pop_own_occ","pop_ren_90_99","pop_ren_bfr89","pop_ren_occ","total_units","vacant_units","pop_own_20yrs_plus","pop_ren_20yrs_plus","X","geoid","ams_res","ams_bus","ams_oth","res_vac","bus_vac","oth_vac","avg_vac_r","avg_vac_b","avg_vac_o","vac_3_res","vac_3_bus","vac_3_oth","vac_3_6_r","vac_3_6_b","vac_3_6_o","vac_6_12r","vac_6_12b","vac_6_12o","vac_12_24r","vac_12_24b","vac_12_24o","vac_24_36r","vac_24_36b","vac_24_36o","vac_36_res","vac_36_bus","vac_36_oth","pqv_is_res","pqv_is_bus","pqv_is_oth","pqv_ns_res","pqv_ns_bus","pqv_ns_oth","nostat_res","nostat_bus","nostat_oth","avg_ns_res","avg_ns_bus","avg_ns_oth","ns_3_res","ns_3_bus","ns_3_oth","ns_3_6_res","ns_3_6_bus","ns_3_6_oth","ns_6_12_r","ns_6_12_b","ns_6_12_o","ns_12_24_r","ns_12_24_b","ns_12_24_o","ns_24_36_r","ns_24_36_b","ns_24_36_o","ns_36_res","ns_36_bus","ns_36_oth","pqns_is_r","pqns_is_b","pqns_is_o"
"1","34001000100",0.801494130202775,0.198505869797225,489,0,242,202,190,"Census Tract 1, Atlantic County, New Jersey",0,46,24,12,108,145,154,246,505,751,127,57,736,34,24,1406,937,186,184,58,55913,34001000100,963,42,48,7,1,0,1705.71,666,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,38,5,0,1215.24,1629.4,0,0,0,0,3,0,0,3,0,0,22,2,0,0,0,0,10,3,0,0,0,0
"2","34001000200",0.705013192612137,0.294986807387863,1255,0,807,335,487,"Census Tract 2, Atlantic County, New Jersey",0,66,65,667,159,31,267,747,589,1336,323,235,1807,159,90,1489,1895,559,558,249,18997,34001000200,2112,54,158,97,2,0,2560.98,1083,0,0,0,0,1,0,0,11,0,0,6,0,0,6,1,0,73,1,0,2,0,0,0,0,0,55,3,0,1997.53,4397.33,0,0,0,0,5,0,0,0,0,0,22,0,0,2,0,0,26,3,0,0,0,0
"3","34001000300",0.778117359413203,0.221882640586797,1328,0,213,466,585,"Census Tract 3, Atlantic County, New Jersey",0,122,88,145,277,322,374,267,1006,1273,94,62,661,30,27,3533,1636,363,156,57,649,34001000300,1549,105,254,72,10,0,2453.13,2657.9,0,0,0,0,1,0,0,4,0,0,0,0,0,2,1,0,65,9,0,0,0,0,0,0,0,48,8,0,1670.96,2754.5,0,1,0,0,3,0,0,1,0,0,4,0,0,18,3,0,21,5,0,0,0,0
"4","34001000400",0.562952898550725,0.437047101449275,1885,0.00543478260869565,432,523,286,"Census Tract 4, Atlantic County, New Jersey",12,175,174,1136,77,162,161,411,832,1243,192,12,841,205,23,2080,2208,965,204,228,9799,34001000400,2711,375,178,130,20,0,3225.23,3952.65,0,1,0,0,0,0,0,12,0,0,3,0,0,3,1,0,111,19,0,0,0,0,0,0,0,314,41,0,2258.35,2719.71,0,0,0,0,6,0,0,3,1,0,2,1,0,142,12,0,161,27,0,0,0,0
"5","34001000500",0.812441968430826,0.187558031569174,574,0,598,281,334,"Census Tract 5, Atlantic County, New Jersey",0,0,0,45,134,239,156,372,503,875,356,122,1519,84,36,1779,1077,202,478,120,650,34001000500,1011,81,176,46,8,0,1269.43,3549.25,0,0,0,0,1,0,0,1,0,0,11,1,0,9,0,0,24,7,0,0,0,0,0,0,0,80,9,0,2054.79,3054.33,0,1,0,0,20,0,0,1,2,0,5,0,0,9,1,0,44,6,0,0,0,0
"6","34001001100",0.817272727272727,0.182727272727273,771,0,181,582,100,"Census Tract 11, Atlantic County, New Jersey",0,189,43,246,141,67,85,72,827,899,11,92,148,59,19,1734,1100,201,103,78,36572,34001001100,1011,28,76,10,1,0,2955.5,1970,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,37,2,0,1959.46,1658.5,0,1,0,0,4,0,0,2,0,0,1,0,0,2,1,0,27,1,0,0,0,0
"7","34001001200",0.819155639571519,0.180844360428481,627,0.00756143667296786,765,328,139,"Census Tract 12, Atlantic County, New Jersey",12,110,63,78,105,94,177,512,788,1300,244,289,1265,182,50,1773,1587,287,533,232,28290,34001001200,1471,55,36,104,1,0,1400.52,820,0,2,0,0,3,0,0,16,0,0,2,0,0,48,1,0,33,0,0,0,0,0,0,0,0,106,6,0,594.62,2362,0,3,0,0,14,0,0,54,1,0,14,1,0,7,0,0,14,4,0,0,0,0
"8","34001001300",0.728723404255319,0.271276595744681,371,0.0191489361702128,507,187,76,"Census Tract 13, Atlantic County, New Jersey",18,170,37,0,35,81,48,341,344,685,199,230,809,60,18,753,940,255,429,78,55914,34001001300,980,41,95,59,4,0,1517.95,1747.75,0,1,0,0,2,0,0,4,0,0,1,0,0,33,3,0,18,1,0,1,0,0,0,0,0,74,5,0,2128.65,1082.2,0,0,0,0,20,0,0,1,0,0,8,1,0,11,3,0,34,1,0,0,0,0
"9","34001001400",0.859785202863962,0.140214797136038,1025,0,497,642,196,"Census Tract 14, Atlantic County, New Jersey",0,176,74,268,398,64,45,328,1113,1441,46,180,510,208,63,3023,1676,235,226,271,28285,34001001400,1790,51,202,13,0,0,501.15,0,0,0,0,0,1,0,0,7,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,189,8,0,1728.07,2817.25,0,0,0,0,14,0,0,4,0,0,8,0,0,74,2,0,89,6,0,0,0,0
"10","34001001500",0.871794871794872,0.128205128205128,563,0,210,465,79,"Census Tract 15, Atlantic County, New Jersey",0,70,4,342,20,36,91,44,738,782,0,20,115,50,140,1627,897,115,20,190,64917,34001001500,1080,23,28,6,1,0,396.67,392,0,1,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,163,1,0,1102.34,5453,0,3,0,0,41,0,0,0,0,0,4,0,0,76,0,0,39,1,0,0,0,0
