"","SSN","geogValue","geogName","municipality"
"1",101,2,"suburban","ABSECON CITY"
"2",102,1,"urban","ATLANTIC CITY"
"3",103,2,"suburban","BRIGANTINE CITY"
"4",104,3,"rural","BUENA BORO"
"5",105,3,"rural","BUENA VISTA TWP"
"6",106,3,"rural","CORBIN CITY"
"7",107,3,"rural","EGG HARBOR CITY"
"8",108,2,"suburban","EGG HARBOR TWP"
"9",109,3,"rural","ESTELL MANOR CITY"
"10",110,3,"rural","FOLSOM BORO"
"11",111,3,"rural","GALLOWAY TWP"
"12",112,3,"rural","HAMILTON TWP"
"13",113,3,"rural","HAMMONTON TOWN"
"14",114,2,"suburban","LINWOOD CITY"
"15",115,2,"suburban","LONGPORT BORO"
"16",116,2,"suburban","MARGATE CITY"
"17",117,3,"rural","MULLICA TWP"
"18",118,2,"suburban","NORTHFIELD CITY"
"19",119,2,"suburban","PLEASANTVILLE CITY"
"20",120,3,"rural","PORT REPUBLIC CITY"
"21",121,2,"suburban","SOMERS POINT CITY"
"22",122,1,"urban","VENTNOR CITY"
"23",123,3,"rural","WEYMOUTH TWP"
"24",201,2,"suburban","ALLENDALE BORO"
"25",202,2,"suburban","ALPINE BORO"
"26",203,1,"urban","BERGENFIELD BORO"
"27",204,1,"urban","BOGOTA BORO"
"28",205,2,"suburban","CARLSTADT BORO"
"29",206,1,"urban","CLIFFSIDE PARK BORO"
"30",207,2,"suburban","CLOSTER BORO"
"31",208,2,"suburban","CRESSKILL BORO"
"32",209,2,"suburban","DEMAREST BORO"
"33",210,1,"urban","DUMONT BORO"
"34",211,1,"urban","ELMWOOD PARK BORO"
"35",212,1,"urban","EAST RUTHERFORD BORO"
"36",213,1,"urban","EDGEWATER BORO"
"37",214,2,"suburban","EMERSON BORO"
"38",215,1,"urban","ENGLEWOOD CITY"
"39",216,1,"urban","ENGLEWOOD CLIFFS BORO"
"40",217,1,"urban","FAIR LAWN BORO"
"41",218,1,"urban","FAIRVIEW BORO"
"42",219,1,"urban","FORT LEE BORO"
"43",220,2,"suburban","FRANKLIN LAKES BORO"
"44",221,1,"urban","GARFIELD CITY"
"45",222,1,"urban","GLEN ROCK BORO"
"46",223,1,"urban","HACKENSACK CITY"
"47",224,2,"suburban","HARRINGTON PARK BORO"
"48",225,1,"urban","HASBROUCK HEIGHTS BORO"
"49",226,2,"suburban","HAWORTH BORO"
