GEOID,pop2016
"34001000100",2142
"34001000200",3296
"34001000300",4194
"34001000400",2941
"34001000500",3298
"34001001100",1882
"34001001200",3306
"34001001300",1576
"34001001400",3540
"34001001500",1761
"34001001900",1413
"34001002300",2469
"34001002400",2620
"34001002500",3934
"34001010101",3154
"34001010102",1813
"34001010104",1415
"34001010105",2584
"34001010200",5866
"34001010300",2423
"34001010401",5878
"34001010403",7138
"34001010501",6870
"34001010503",7454
"34001010505",2686
"34001010506",5261
"34001010600",4153
"34001010700",5987
"34001010800",3383
"34001010900",5638
"34001011000",2514
"34001011100",2749
"34001011201",1768
"34001011202",7366
"34001011300",4422
"34001011401",4314
"34001011403",5654
"34001011404",9439
"34001011500",6811
"34001011600",4957
"34001011701",8862
"34001011702",3166
"34001011802",16571
"34001011803",4626
"34001011804",6857
"34001011805",1999
"34001011900",8433
"34001012000",4524
"34001012100",2841
"34001012200",5297
"34001012302",3502
"34001012401",2935
"34001012402",1907
"34001012501",2584
"34001012502",1470
"34001012602",1408
"34001012701",3250
"34001012702",1819
"34001012801",3836
"34001012802",1555
"34001013000",3239
"34001013101",1129
"34001013102",1708
"34001013201",3025
"34001013202",2447
"34001013301",2029
"34001013302",2731
"34001013500",2392
"34001983400",2328
"34001990000",0
"34003001000",6762
"34003002100",1513
"34003002200",5412
"34003002300",5819
"34003003100",5154
"34003003200",5002
"34003003300",6724
"34003003401",2788
"34003003402",3702
"34003003500",4002
"34003004001",3359
"34003004002",5003
"34003005000",6191
"34003006100",6690
"34003006201",4227
"34003006202",5149
"34003006300",8817
"34003007001",3898
"34003007002",4687
"34003008000",8730
"34003009100",4959
"34003009200",3418
"34003010100",5883
"34003010200",4457
"34003010300",7354
"34003011100",4382
"34003011200",5001
"34003011300",4328
"34003011400",6401
"34003012001",6174
"34003012002",3292
"34003013001",6669
"34003013002",5515
"34003014000",7611
"34003015100",2829
"34003015200",6307
"34003015300",5920
"34003015400",6939
"34003015500",6337
"34003016000",5356
"34003017100",7046
"34003017200",6159
"34003017300",6004
"34003017400",5473
"34003017500",8399
"34003018100",7425
"34003018200",6844
"34003019102",3337
"34003019103",4232
"34003019104",3959
"34003019202",2113
"34003019203",2999
"34003019204",3560
"34003019303",5574
"34003019304",2683
"34003019305",6516
"34003019306",2017
"34003020100",4060
"34003020200",6823
"34003021100",6734
"34003021200",5711
"34003021300",4443
"34003021400",5032
"34003021500",5092
"34003021600",4566
"34003022100",3905
"34003022200",7921
"34003023100",3234
"34003023200",6641
"34003023301",2967
"34003023302",5430
"34003023401",3872
"34003023402",5929
"34003023501",3744
"34003023502",4759
"34003023601",2741
"34003023602",5064
"34003024100",5923
"34003024200",4761
"34003025100",6429
"34003025200",5662
"34003026100",4627
"34003026200",5768
"34003027000",4101
"34003028001",5312
"34003028002",3799
"34003029100",4440
"34003029200",6387
"34003030100",5543
"34003030200",7169
"34003030300",4567
"34003030400",7219
"34003031100",6221
"34003031200",4728
"34003031300",5152
"34003031400",5929
"34003032102",5909
"34003032103",5149
"34003032104",4552
"34003032201",5730
"34003032202",4985
"34003033100",3796
"34003033200",2392
"34003033300",3466
"34003034000",7263
"34003035100",8438
"34003035200",5816
"34003036100",2687
"34003036200",2739
"34003037100",5648
"34003037201",3847
"34003037202",7083
"34003038100",5613
"34003038200",4218
"34003038300",5893
"34003039100",4166
"34003039200",5976
"34003039300",2867
"34003040001",3566
"34003040002",4568
"34003041100",5870
"34003041200",4499
"34003041301",5638
"34003041302",4547
"34003042100",7404
"34003042301",4425
"34003042302",5757
"34003042400",4468
"34003042500",4559
"34003043001",4184
"34003043002",4620
"34003044100",6268
"34003044201",3747
"34003044202",4948
"34003045100",8325
"34003045200",2923
"34003046100",4418
"34003046200",3923
"34003046300",4593
"34003047100",6009
"34003047200",4447
"34003047300",3166
"34003047400",4729
"34003047500",6918
"34003048100",3884
"34003048200",7646
"34003049001",4487
"34003049002",5489
"34003050000",5613
"34003051100",6130
"34003051200",2577
"34003051300",4536
"34003051400",5184
"34003052100",7727
"34003052200",6191
"34003053100",3212
"34003053200",8242
"34003054100",8340
"34003054200",4595
"34003054300",6594
"34003054400",7750
"34003054500",4822
"34003054600",8442
"34003055100",6792
"34003055200",7895
"34003056100",4966
"34003056200",4982
"34003057101",4458
"34003057102",3666
