GEOID,totpop18,pop18_017,pop18_1864,pop18_017P,pop18_1864P
"34001000100",2142,651,1300,30.3921568627451,60.6909430438842
"34001000200",3296,449,2206,13.622572815534,66.9296116504854
"34001000300",4194,1076,2850,25.655698617072,67.9542203147353
"34001000400",2941,553,1943,18.8031281876913,66.0659639578375
"34001000500",3298,1098,1958,33.2929047907823,59.3693147362038
"34001001100",1882,568,1045,30.1806588735388,55.5260361317747
"34001001200",3306,818,2064,24.7428917120387,62.431941923775
"34001001300",1576,330,1000,20.9390862944162,63.4517766497462
"34001001400",3540,1550,1597,43.7853107344633,45.1129943502825
"34001001500",1761,317,1093,18.0011357183418,62.0670073821692
"34001001900",1413,247,1039,17.4805378627035,73.5314932767162
"34001002300",2469,769,1549,31.1462130417173,62.7379505872823
"34001002400",2620,416,1780,15.8778625954198,67.9389312977099
"34001002500",3934,647,2226,16.4463650228775,56.5836298932384
"34001010101",3154,462,1930,14.6480659480025,61.1921369689283
"34001010102",1813,226,987,12.465526751241,54.4401544401544
"34001010104",1415,101,903,7.13780918727915,63.8162544169611
"34001010105",2584,329,1479,12.7321981424149,57.2368421052632
"34001010200",5866,1193,3253,20.3375383566314,55.4551653597
"34001010300",2423,486,1506,20.0577796120512,62.1543541064796
"34001010401",5878,1088,3790,18.5096971759102,64.4777135079959
"34001010403",7138,1414,4362,19.8094704398991,61.109554497058
"34001010501",6870,1029,3768,14.9781659388646,54.8471615720524
"34001010503",7454,1619,4861,21.7198819425812,65.2133082908505
"34001010505",2686,423,1866,15.7483246463142,69.4713328369322
"34001010506",5261,1052,3509,19.996198441361,66.698346321992
"34001010600",4153,1165,2430,28.0520105947508,58.5119190946304
"34001010700",5987,1196,3782,19.9766160013362,63.1702021045599
"34001010800",3383,622,1846,18.3860478864913,54.5669524091043
"34001010900",5638,1349,3362,23.9269244412912,59.6310748492373
"34001011000",2514,618,1489,24.582338902148,59.2283214001591
"34001011100",2749,731,1654,26.5914878137505,60.1673335758458
"34001011201",1768,346,1082,19.5701357466063,61.1990950226244
"34001011202",7366,1575,4505,21.3820255226717,61.1593809394515
"34001011300",4422,1087,2556,24.5816372682044,57.8018995929444
"34001011401",4314,847,2625,19.6337505795086,60.8484005563282
"34001011403",5654,1191,3968,21.0647329324372,70.1804032543332
"34001011404",9439,1964,5997,20.8072889077233,63.5342726983791
"34001011500",6811,1831,4318,26.882983409191,63.3974453090589
"34001011600",4957,930,2858,18.7613475892677,57.6558402259431
"34001011701",8862,2494,5460,28.142631460167,61.6113744075829
"34001011702",3166,699,2048,22.0783322804801,64.6873025900189
"34001011802",16571,4301,9863,25.9549815943516,59.5196427493815
"34001011803",4626,1067,2843,23.0652831820147,61.4569822741029
"34001011804",6857,1612,4353,23.5088231004813,63.4825725535949
"34001011805",1999,486,1160,24.312156078039,58.0290145072536
"34001011900",8433,2188,5364,25.9456895529468,63.607257203842
"34001012000",4524,1004,2986,22.1927497789567,66.0035366931919
"34001012100",2841,714,1800,25.1319957761352,63.3579725448786
"34001012200",5297,1308,3263,24.6932225788182,61.6009061733056
"34001012302",3502,845,2210,24.1290691033695,63.1067961165049
"34001012401",2935,720,1627,24.5315161839864,55.4344122657581
"34001012402",1907,409,1171,21.4472994231778,61.4053487152596
"34001012501",2584,518,1397,20.046439628483,54.0634674922601
"34001012502",1470,315,873,21.4285714285714,59.3877551020408
"34001012602",1408,300,792,21.3068181818182,56.25
"34001012701",3250,677,2002,20.8307692307692,61.6
"34001012702",1819,544,917,29.9065420560748,50.4123144584937
"34001012801",3836,703,2496,18.3263816475495,65.0677789363921
"34001012802",1555,206,1031,13.2475884244373,66.3022508038585
"34001013000",3239,390,1622,12.0407533189256,50.077184316147
"34001013101",1129,143,445,12.666076173605,39.4154118689105
"34001013102",1708,48,1059,2.81030444964871,62.0023419203747
"34001013201",3025,679,1715,22.4462809917355,56.6942148760331
"34001013202",2447,378,1653,15.4474867184307,67.5521046178995
"34001013301",2029,155,1010,7.63923114834894,49.7782158698866
"34001013302",2731,440,1805,16.1113145367997,66.0930062248261
"34001013500",2392,442,1311,18.4782608695652,54.8076923076923
"34001983400",2328,30,2290,1.28865979381443,98.3676975945017
"34001990000",0,0,0,,
"34003001000",6762,1953,3900,28.8819875776398,57.6752440106477
"34003002100",1513,350,748,23.132848645076,49.438202247191
"34003002200",5412,1164,3160,21.5077605321508,58.3887657058389
"34003002300",5819,1162,3437,19.9690668499742,59.0651314658876
"34003003100",5154,1070,3219,20.7605743112146,62.4563445867288
"34003003200",5002,810,3477,16.1935225909636,69.5121951219512
"34003003300",6724,1205,4492,17.9208804283165,66.8054729327781
"34003003401",2788,769,1650,27.5824964131994,59.1822094691535
"34003003402",3702,1271,1936,34.332793084819,52.2960561858455
"34003003500",4002,936,2457,23.3883058470765,61.3943028485757
"34003004001",3359,714,2218,21.2563262875856,66.0315570110152
"34003004002",5003,872,3513,17.4295422746352,70.2178692784329
"34003005000",6191,1169,3942,18.8822484251333,63.6730738168309
"34003006100",6690,967,4396,14.4544095665172,65.7100149476831
"34003006201",4227,489,2413,11.5684882895671,57.0854033593565
"34003006202",5149,765,2571,14.8572538356963,49.9320256360458
"34003006300",8817,1507,6373,17.091981399569,72.2808211409777
"34003007001",3898,838,2424,21.4982042072858,62.1857362750128
"34003007002",4687,1223,2782,26.0934499679966,59.3556646042244
"34003008000",8730,2400,4920,27.4914089347079,56.3573883161512
"34003009100",4959,1281,2903,25.8318209316394,58.5400282314983
"34003009200",3418,898,1896,26.2726740784084,55.4710356933879
"34003010100",5883,1166,3637,19.8198198198198,61.8221995580486
"34003010200",4457,895,2674,20.0807718196096,59.9955126766884
"34003010300",7354,1478,4661,20.0979059015502,63.3804732118575
"34003011100",4382,856,2667,19.5344591510726,60.8626198083067
"34003011200",5001,1317,3085,26.3347330533893,61.6876624675065
"34003011300",4328,882,2836,20.3789279112754,65.5268022181146
"34003011400",6401,1353,4071,21.1373222933917,63.5994375878769
"34003012001",6174,1109,3969,17.9624230644639,64.2857142857143
"34003012002",3292,606,2230,18.408262454435,67.7399756986634
"34003013001",6669,1241,4597,18.6084870295397,68.9308741940321
"34003013002",5515,1074,3717,19.4741613780598,67.3980054397099
"34003014000",7611,1789,4400,23.505452634345,57.8110629352253
"34003015100",2829,955,1356,33.7575114881584,47.932131495228
"34003015200",6307,1275,4060,20.2156334231806,64.3729189789123
"34003015300",5920,1163,4073,19.6452702702703,68.8006756756757
"34003015400",6939,1027,4900,14.8004035163568,70.6153624441562
"34003015500",6337,1598,3415,25.2169796433644,53.8898532428594
"34003016000",5356,1280,2734,23.898431665422,51.0455563853622
"34003017100",7046,1561,4104,22.1544138518308,58.245813227363
"34003017200",6159,1117,4189,18.1360610488716,68.0142880337717
"34003017300",6004,1400,3753,23.3177881412392,62.508327781479
"34003017400",5473,1266,3087,23.1317376210488,56.4041659053536
"34003017500",8399,2009,5159,23.9195142278843,61.4239790451244
"34003018100",7425,1181,5055,15.9057239057239,68.0808080808081
"34003018200",6844,1307,4655,19.0970192869667,68.0157802454705
"34003019102",3337,675,2030,20.2277494755769,60.8330836080312
"34003019103",4232,767,2841,18.1238185255198,67.1313799621928
"34003019104",3959,829,2448,20.9396312200051,61.8337964132357
"34003019202",2113,376,1502,17.7946048272598,71.0837671557028
"34003019203",2999,339,1413,11.3037679226409,47.1157052350784
"34003019204",3560,530,1844,14.8876404494382,51.7977528089888
"34003019303",5574,965,3613,17.3125224255472,64.8188015787585
"34003019304",2683,529,1666,19.7167349981364,62.0946701453597
"34003019305",6516,788,3233,12.0933087783917,49.6163290362185
"34003019306",2017,338,1143,16.757560733763,56.6683192860684
"34003020100",4060,882,2198,21.7241379310345,54.1379310344828
"34003020200",6823,1548,3984,22.6879671698666,58.3907372123699
"34003021100",6734,1313,4731,19.4980694980695,70.2554202554202
"34003021200",5711,1168,3910,20.4517597618631,68.4643670110313
"34003021300",4443,1051,2650,23.6551879360792,59.6443844249381
"34003021400",5032,1129,3317,22.4364069952305,65.9181240063593
"34003021500",5092,1359,3180,26.6889238020424,62.4509033778476
"34003021600",4566,1190,3049,26.0621988611476,66.7761717038984
"34003022100",3905,1183,2188,30.2944942381562,56.0307298335467
"34003022200",7921,2314,4527,29.2134831460674,57.1518747632875
"34003023100",3234,638,2239,19.7278911564626,69.2331478045764
"34003023200",6641,1092,4541,16.443306730914,68.3782562867038
"34003023301",2967,485,1966,16.3464779238288,66.2622177283451
"34003023302",5430,679,3821,12.5046040515654,70.3683241252302
"34003023401",3872,927,2447,23.9411157024793,63.1973140495868
"34003023402",5929,976,4125,16.4614606173048,69.5732838589982
"34003023501",3744,719,2504,19.2040598290598,66.8803418803419
"34003023502",4759,985,3192,20.6976255515865,67.0729144778315
"34003023601",2741,372,1882,13.5716891645385,68.6610726012404
"34003023602",5064,1051,3439,20.7543443917851,67.9107424960506
"34003024100",5923,1431,3318,24.1600540266757,56.0189093364849
"34003024200",4761,1316,2617,27.6412518378492,54.9674438143247
"34003025100",6429,1315,3985,20.4541919427594,61.9847565717841
"34003025200",5662,1142,3578,20.1695513952667,63.1932179441893
"34003026100",4627,1097,2588,23.7086665225848,55.9325696995894
"34003026200",5768,1425,3581,24.7052704576976,62.0839112343967
"34003027000",4101,1201,2235,29.2855401121678,54.4989027066569
"34003028001",5312,1248,3284,23.4939759036145,61.8222891566265
"34003028002",3799,773,2209,20.3474598578573,58.1468807580942
"34003029100",4440,591,3298,13.3108108108108,74.2792792792793
"34003029200",6387,1056,4369,16.5335838421794,68.4045717864412
"34003030100",5543,1276,3449,23.020025257081,62.2226231282699
"34003030200",7169,1360,4864,18.970567722137,67.8476775003487
"34003030300",4567,928,2939,20.3196846945478,64.35296693672
"34003030400",7219,1182,5064,16.3734589278293,70.1482199750658
"34003031100",6221,1067,4412,17.1515833467288,70.9210737823501
"34003031200",4728,811,3095,17.1531302876481,65.4610829103215
"34003031300",5152,1032,3170,20.0310559006211,61.5295031055901
"34003031400",5929,1058,3866,17.8444931691685,65.2049249451847
"34003032102",5909,1424,3215,24.0988322897275,54.4085293619902
"34003032103",5149,964,3231,18.7220819576617,62.7500485531171
"34003032104",4552,528,3744,11.5992970123023,82.2495606326889
"34003032201",5730,987,3627,17.2251308900524,63.2984293193717
"34003032202",4985,1159,2942,23.2497492477432,59.0170511534604
"34003033100",3796,754,2478,19.8630136986301,65.2792413066386
"34003033200",2392,466,1542,19.4816053511706,64.4648829431438
