"","Municipality","SSN","popDensity"
"1","Absecon",101,1534
"2","Atlantic City",102,3575
"3","Brigantine",103,1403
"4","Buena",104,584
"5","Buena Vista",105,181
"6","Corbin City",106,65
"7","Egg Harbor",107,382
"8","Egg Harbor Twp",108,650
"9","Estell Manor",109,32
"10","Folsom",110,221
"11","Galloway",111,410
"12","Hamilton",112,238
"13","Hammonton",113,351
"14","Linwood",114,1771
"15","Longport",115,2246
"16","Margate",116,4284
"17","Mullica",117,107
"18","Northfield",118,2459
"19","Pleasantville",119,3644
"20","Port Republic",120,144
"21","Somers Point",121,2600
"22","Ventnor",122,5251
"23","Weymouth",123,233
"24","Allendale",201,2228
"25","Alpine",202,295
"26","Bergenfield",203,9697
"27","Bogota",204,11272
"28","Carlstadt",205,1579
"29","Cliffside Park",206,26190
"30","Closter",207,2774
"31","Cresskill",208,4337
"32","Demarest",209,2431
"33","Dumont",210,9090
"34","East Rutherford",212,2676
"35","Edgewater",213,13157
"36","Elmwood Park",211,7709
"37","Emerson",214,3518
"38","Englewood",215,5929
"39","Englewood Cliffs",216,2609
"40","Fair Lawn",217,6558
"41","Fairview",218,17306
"42","Fort Lee",219,14924
"43","Franklin Lakes",220,1200
"44","Garfield",221,15425
"45","Glen Rock",222,4445
"46","Hackensack",223,10825
"47","Harrington Park",224,2648
"48","Hasbrouck Heights",225,8130
"49","Haworth",226,1803
"50","Hillsdale",227,3587
"51","Ho-Ho-Kus",228,2404
"52","Leonia",229,6014
"53","Little Ferry",230,7432
"54","Lodi",231,11045
"55","Lyndhurst",232,4918
"56","Mahwah",233,1042
"57","Maywood",234,7643
"58","Midland Park",235,4733
"59","Montvale",236,2181
"60","Moonachie",237,1687
"61","New Milford",238,7431
"62","North Arlington",239,6254
"63","Northvale",240,3835
"64","Norwood",241,2159
"65","Oakland",242,1565
"66","Old Tappan",243,1814
"67","Oradell",244,3436
"68","Palisades Park",245,16790
"69","Paramus",246,2582
"70","Park Ridge",247,3467
"71","Ramsey",248,2761
"72","Ridgefield",249,4484
"73","Ridgefield Park",250,7648
"74","Ridgewood",251,4468
"75","River Edge",252,6337
