SSN,med_walk_score,mean_walk_scre,num_schools
"0101",29,26.0588235294118,"5"
"0102",61.5,56.5909090909091,"12"
"0103",28,30,"4"
"0104",1.5,6.66666666666667,"2"
"0105",3,5.53846153846154,"4"
"0106",0,3.2,"3"
"0107",3,25.4285714285714,"5"
"0108",18,22.0701754385965,"24"
"0109",0,2.28571428571429,"2"
"0110",2,2.57142857142857,"3"
"0111",7.5,13.1764705882353,"9"
"0112",2,5.30434782608696,"13"
"0113",5.5,16.6666666666667,"6"
"0114",31,32.8666666666667,"8"
"0115",40,34.6666666666667,"0"
"0116",48,50.9230769230769,"5"
"0117",2.5,13.25,"6"
"0118",34.5,39.0833333333333,"8"
"0119",34,36.6,"8"
"0120",5.5,7.16666666666667,"2"
"0121",32,28.2941176470588,"6"
"0122",46,42.1052631578947,"4"
"0123",0.5,3.125,"2"
"0301",7,7,"1"
"0303",36,36,"1"
"0304",30,29.2,"2"
"0307",4.5,4.5,"0"
"0326",5,5,"0"
"0332",3,3,"1"
"0336",0,1.28571428571429,"4"
"0435",6,6,"1"
"0436",5.5,9,"2"
"0501",13,15,"2"
"0502",23,41.7142857142857,"4"
"0503",12,12,"1"
"0504",4,7.94117647058824,"6"
"0505",13,23.0357142857143,"8"
"0506",13,21.1379310344828,"12"
"0507",43,46.6666666666667,"4"
"0508",32,36.8260869565217,"1"
"0509",17.5,22.625,"0"
"0510",11.5,13.25,"2"
"0511",3,7.17391304347826,"6"
"0512",74,58,"3"
"0513",50,44,"2"
"0514",60,48.0909090909091,"2"
"0515",43,43,"0"
"0516",2,8.6,"2"
"0601",20,24.7894736842105,"7"
"0602",1.5,1.9,"1"
"0603",3,6.375,"5"
"0604",0,0.714285714285714,"2"
"0605",2,6.93333333333333,"5"
"0606",1,1.25,"2"
"0607",4.5,9.85714285714286,"6"
"0608",0,0.625,"3"
"0609",3,5.14285714285714,"4"
"0610",8,21.2258064516129,"6"
"0611",3,6,"2"
"0612",3,4,"3"
"0613",10,13.6428571428571,"9"
"0614",14,19.4285714285714,"18"
"0805",3,5.33333333333333,"1"
"0811",0,0,"0"
"1008",0,0,"2"
"1026",3,3,"2"
"1101",16,22.8695652173913,"8"
"1102",33,33.7441860465116,"14"
"1103",40.5,42.4512195121951,"22"
"1104",44,39.5,"4"
"1105",44,37.6666666666667,"3"
"1106",6,20.6190476190476,"11"
"1107",22.5,26.3529411764706,"20"
"1108",6,23.2857142857143,"6"
"1111",67,64.4831460674157,"25"
"1112",9,15.0666666666667,"7"
"1113",11,15.9130434782609,"14"
"1114",14,33.88,"13"
"1202",18.5,22.5,"2"
"1213",13,13,"0"
"1218",12,14.6,"2"
"1221",10,10,"0"
"1302",4,4,"0"
"1332",4,4.66666666666667,"0"
"1351",4,3,"0"
"1516",7,7,"1"
"1701",3,5,"1"
"1704",2.5,2.5,"1"
"1710",8,7.6,"3"
"1711",3,3,"0"
"1808",12,12,"1"
"1813",3.5,5.25,"3"
