County,Municipality,DLGSCode,LD,CD,Area15,Area16,Area17,Area18,Dens15,Dens16,Dens17,Dens18,Pop15,Pop16,Pop17,Pop18,PopE15,PopE16,PopE17,PopE18,PopCh15,PopCh16,PopCh17,PopCh18
Atlantic,Absecon,101,2,2,5.4,5.4,5.4,5.4,1540,1536,1534,1563,8411,8411,8411,8411,8317,8295,8283,8442,-1.12,-1.38,-1.52,0.37
Atlantic,Atlantic City,102,2,2,10.75,10.75,10.75,10.75,3652,3603,3575,3517,39558,39558,39558,39558,39260,38735,38429,37804,-0.75,-2.08,-2.85,-4.43
Atlantic,Brigantine,103,2,2,6.39,6.39,6.39,6.39,1440,1415,1403,1372,9450,9450,9450,9450,9204,9042,8963,8765,-2.6,-4.32,-5.15,-7.25
Atlantic,Buena,104,2,2,7.58,7.58,7.58,7.58,598,588,584,573,4603,4603,4603,4603,4534,4456,4429,4347,-1.5,-3.19,-3.78,-5.56
Atlantic,Buena Vista,105,2,2,41.05,41.05,41.05,41.05,183,182,181,178,7570,7570,7570,7570,7506,7461,7422,7299,-0.85,-1.44,-1.96,-3.58
Atlantic,Corbin City,106,1,2,7.67,7.67,7.67,7.67,64,65,65,64,492,492,492,492,492,499,500,493,0,1.42,1.63,0.2
Atlantic,Egg Harbor,107,2,2,10.93,10.93,10.93,10.93,388,384,382,375,4243,4243,4243,4243,4239,4193,4174,4104,-0.09,-1.18,-1.63,-3.28
Atlantic,Egg Harbor Twp,108,2,2,66.6,66.6,66.6,66.6,659,653,650,639,43323,43323,43323,43323,43882,43504,43296,42578,1.29,0.42,-0.06,-1.72
Atlantic,Estell Manor,109,1,2,53.32,53.32,53.32,53.32,32,32,32,32,1735,1735,1735,1735,1731,1718,1720,1720,-0.23,-0.98,-0.86,-0.86
Atlantic,Folsom,110,2,2,8.2,8.2,8.2,8.2,226,222,221,219,1885,1885,1885,1885,1851,1824,1815,1792,-1.8,-3.24,-3.71,-4.93
Atlantic,Galloway,111,9,2,89.07,89.07,89.07,89.07,419,413,410,404,37349,37349,37349,37349,37291,36753,36563,35967,-0.16,-1.6,-2.1,-3.7
Atlantic,Hamilton,112,2,2,111.13,111.13,111.13,111.13,241,238,238,232,26503,26503,26503,26503,26787,26499,26408,25768,1.07,-0.02,-0.36,-2.77
Atlantic,Hammonton,113,8,2,40.89,40.89,40.89,40.89,357,353,351,344,14791,14791,14791,14791,14618,14428,14369,14085,-1.17,-2.45,-2.85,-4.77
Atlantic,Linwood,114,2,2,3.87,3.87,3.87,3.87,1802,1781,1771,1742,7092,7092,7092,7092,6973,6892,6855,6740,-1.68,-2.82,-3.34,-4.96
Atlantic,Longport,115,2,2,0.39,0.39,0.39,0.39,2272,2236,2246,2200,895,895,895,895,886,872,876,858,-1.01,-2.57,-2.12,-4.13
Atlantic,Margate,116,2,2,1.42,1.42,1.42,1.42,4392,4325,4284,4196,6354,6354,6354,6354,6237,6142,6083,5959,-1.84,-3.34,-4.27,-6.22
Atlantic,Mullica,117,2,2,56.42,56.42,56.42,56.42,108,107,107,105,6147,6147,6147,6147,6098,6041,6022,5924,-0.8,-1.72,-2.03,-3.63
Atlantic,Northfield,118,2,2,3.4,3.4,3.4,3.4,2506,2474,2459,2415,8624,8624,8624,8624,8521,8410,8360,8212,-1.19,-2.48,-3.06,-4.78
Atlantic,Pleasantville,119,2,2,5.69,5.69,5.69,5.69,3648,3601,3644,3581,20249,20249,20249,20249,20755,20492,20732,20376,2.5,1.2,2.39,0.63
Atlantic,Port Republic,120,9,2,7.48,7.48,7.48,7.48,147,145,144,141,1115,1115,1115,1115,1100,1085,1080,1058,-1.35,-2.69,-3.14,-5.11
Atlantic,Somers Point,121,2,2,4.03,4.03,4.03,4.03,2652,2617,2600,2552,10795,10795,10795,10795,10688,10545,10480,10285,-0.99,-2.32,-2.92,-4.72
Atlantic,Ventnor,122,2,2,1.95,1.95,1.95,1.95,5377,5291,5251,5148,10650,10650,10650,10650,10486,10317,10239,10039,-1.54,-3.13,-3.86,-5.74
Atlantic,Weymouth,123,1,2,12.09,12.09,12.09,12.09,229,231,233,233,2715,2715,2715,2715,2763,2788,2820,2814,1.77,2.69,3.87,3.65
Bergen,Allendale,201,40,5,3.1,3.1,3.1,3.1,2201,2211,2228,2191,6505,6505,6505,6505,6822,6853,6906,6792,4.87,5.35,6.16,4.41
Bergen,Alpine,202,37,5,6.41,6.41,6.41,6.41,299,292,295,290,1849,1849,1849,1849,1917,1869,1890,1860,3.68,1.08,2.22,0.59
Bergen,Bergenfield,203,38,5,2.88,2.88,2.88,2.88,9591,9600,9697,9541,26764,26764,26764,26764,27621,27647,27927,27479,3.2,3.3,4.35,2.67
Bergen,Bogota,204,37,5,0.76,0.76,0.76,0.76,11053,11193,11272,11070,8187,8187,8187,8187,8400,8507,8567,8413,2.6,3.91,4.64,2.76
Bergen,Carlstadt,205,36,9,4,4,4,4,1570,1562,1579,1548,6127,6127,6127,6127,6279,6249,6314,6191,2.48,1.99,3.05,1.04
Bergen,Cliffside Park,206,36,9,0.96,0.96,0.96,0.96,25893,25892,26190,27016,23594,23594,23594,23594,24857,24856,25142,25935,5.35,5.35,6.56,9.92
Bergen,Closter,207,39,5,3.16,3.16,3.16,3.16,2741,2755,2774,2716,8373,8373,8373,8373,8662,8705,8766,8582,3.45,3.97,4.69,2.5
Bergen,Cresskill,208,37,9,2.06,2.06,2.06,2.06,4278,4261,4337,4260,8573,8573,8573,8573,8812,8777,8935,8775,2.79,2.38,4.22,2.36
Bergen,Demarest,209,39,5,2.07,2.07,2.07,2.07,2440,2415,2431,2383,4881,4881,4881,4881,5050,5000,5032,4933,3.46,2.44,3.09,1.07
Bergen,Dumont,210,39,5,1.98,1.98,1.98,1.98,9091,9026,9090,8938,17479,17479,17479,17479,18001,17871,17998,17697,2.99,2.24,2.97,1.25
Bergen,East Rutherford,212,36,9,3.71,3.71,3.71,3.71,2470,2657,2676,2632,8913,8913,8913,8913,9164,9856,9928,9764,2.82,10.58,11.39,9.55
Bergen,Edgewater,213,32,9,0.94,0.94,0.94,0.94,12802,12813,13157,13532,11513,11513,11513,11513,12034,12044,12368,12720,4.53,4.61,7.43,10.48
Bergen,Elmwood Park,211,35,9,2.65,2.65,2.65,2.65,7652,7658,7709,7592,19403,19403,19403,19403,20279,20295,20429,20120,4.51,4.6,5.29,3.7
