"","Row.ID","Place.ID","Place.Name","Use.Code","Use.Level","Acreage.1986","Acreage.1995","Acreage.2002","Acreage.2007","Acreage.2012","Acreage.2015","Place.Total.Area","description"
"1",265,101,"Absecon City",1,"1",1400.5,1499.3,1520.1,1612.2,"1,638.1",1642.8,4627.1,"URBAN"
"2",271,101,"Absecon City",11,"2",979.6,1048.2,1076.2,1129,"1,146.1",1151.1,4627.1,"Residential (Total)"
"3",272,101,"Absecon City",12,"2",163.9,186.7,188.7,191,"193.5",192.2,4627.1,"Commercial and Services"
"4",273,101,"Absecon City",13,"2",16.6,17.9,17.4,21.5,"27.5",25.9,4627.1,"Industrial"
"5",274,101,"Absecon City",14,"2",92.4,92.4,112.6,128.2,"132.9",134.7,4627.1,"Transportation/Communication/Utilities"
"6",275,101,"Absecon City",16,"2",0,0.1,0.1,0.1,".1",0.1,4627.1,"Mixed Urban or Built-up Land"
"7",276,101,"Absecon City",17,"2",80.8,79.8,67.2,66.6,"60.4",64.6,4627.1,"Other Urban or Built-up Land"
"8",297,101,"Absecon City",1100,"3",1.5,0,0,0,".0",0,4627.1,"Residential (Other)"
"9",298,101,"Absecon City",1110,"3",27,40.9,37.3,61.4,"73.3",77.7,4627.1,"Residential (High Density or Multiple Dwelling)"
"10",299,101,"Absecon City",1120,"3",680.7,720.6,754.8,801.4,"805.0",805.6,4627.1,"Residential (Single Unit, Medium Density)"
"11",300,101,"Absecon City",1130,"3",200.2,209.8,201.9,185,"182.5",182.5,4627.1,"Residential (Single Unit, Low Density)"
"12",301,101,"Absecon City",1140,"3",70.3,76.9,82.3,81.1,"85.3",85.3,4627.1,"Residential (Rural, Single Unit)"
"13",302,101,"Absecon City",1200,"3",163.9,186.7,188.7,191,"193.5",192.2,4627.1,"Commercial and Services"
"14",303,101,"Absecon City",1300,"3",16.6,17.9,17.4,21.5,"27.5",25.9,4627.1,"Industrial"
"15",304,101,"Absecon City",1400,"3",87.7,87.7,65.4,35.6,"36.8",38.6,4627.1,"Transportation"
"16",312,101,"Absecon City",1600,"3",0,0.1,0.1,0.1,".1",0.1,4627.1,"Mixed Urban or Built-up Land"
"17",313,101,"Absecon City",1700,"3",78.6,76.9,51.3,53,"49.5",53.7,4627.1,"Other Urban or Built-up Land"
"18",364,102,"Atlantic City",1,"1",2577.9,2622.8,2572.9,2783.5,"2,741.7",2735.7,10179.2,"URBAN"
"19",369,102,"Atlantic City",11,"2",976.8,936.6,890,890.5,"882.0",892,10179.2,"Residential (Total)"
"20",370,102,"Atlantic City",12,"2",775.2,760,745.7,836.3,"828.6",839,10179.2,"Commercial and Services"
"21",371,102,"Atlantic City",13,"2",64.1,65.3,41.9,29.2,"28.2",24.9,10179.2,"Industrial"
"22",372,102,"Atlantic City",14,"2",297.1,322.4,369.5,456.6,"468.5",464.5,10179.2,"Transportation/Communication/Utilities"
"23",373,102,"Atlantic City",16,"2",38.5,32.3,20.5,30.4,"33.0",27.1,10179.2,"Mixed Urban or Built-up Land"
"24",374,102,"Atlantic City",17,"2",315.6,386.4,368.6,430.9,"368.7",345,10179.2,"Other Urban or Built-up Land"
"25",389,102,"Atlantic City",1100,"3",56.2,0,0,0,".0",0,10179.2,"Residential (Other)"
"26",390,102,"Atlantic City",1110,"3",898.2,913.6,877.4,874.2,"866.6",876.6,10179.2,"Residential (High Density or Multiple Dwelling)"
"27",391,102,"Atlantic City",1120,"3",22.4,23,12.3,16.3,"15.4",15.4,10179.2,"Residential (Single Unit, Medium Density)"
"28",392,102,"Atlantic City",1130,"3",0,0,0.3,0,".0",0,10179.2,"Residential (Single Unit, Low Density)"
"29",393,102,"Atlantic City",1200,"3",763.6,748.4,735.1,826.3,"818.6",831.3,10179.2,"Commercial and Services"
"30",396,102,"Atlantic City",1300,"3",64.1,65.3,41.9,29.2,"28.2",24.9,10179.2,"Industrial"
"31",397,102,"Atlantic City",1400,"3",297.1,320.5,171.4,174.4,"196.2",194.5,10179.2,"Transportation"
"32",406,102,"Atlantic City",1600,"3",38.5,32.3,20.5,30.4,"33.0",27.1,10179.2,"Mixed Urban or Built-up Land"
"33",407,102,"Atlantic City",1700,"3",314.6,382.5,362.9,422.8,"361.7",338,10179.2,"Other Urban or Built-up Land"
"34",443,103,"Brigantine City",1,"1",1301.9,1382.5,1393.2,1398.9,"1,399.4",1398.4,6851.2,"URBAN"
"35",448,103,"Brigantine City",11,"2",1071.3,1130.6,1155.4,1165.6,"1,166.9",1170.1,6851.2,"Residential (Total)"
"36",449,103,"Brigantine City",12,"2",102.7,117.4,108.7,107.2,"106.9",106.9,6851.2,"Commercial and Services"
"37",450,103,"Brigantine City",14,"2",41.7,52.1,53,55.5,"55.9",55.9,6851.2,"Transportation/Communication/Utilities"
"38",451,103,"Brigantine City",16,"2",2.9,2.9,3.6,3.6,"3.7",3.7,6851.2,"Mixed Urban or Built-up Land"
"39",452,103,"Brigantine City",17,"2",37.1,35.2,20.6,16.2,"14.0",9.7,6851.2,"Other Urban or Built-up Land"
"40",466,103,"Brigantine City",1100,"3",7.7,0,0,0,".0",0,6851.2,"Residential (Other)"
"41",467,103,"Brigantine City",1110,"3",679,732.3,759.1,769.4,"770.1",770.2,6851.2,"Residential (High Density or Multiple Dwelling)"
"42",468,103,"Brigantine City",1120,"3",378.8,392.5,389.5,389.5,"390.4",393.5,6851.2,"Residential (Single Unit, Medium Density)"
"43",469,103,"Brigantine City",1130,"3",1.8,1.8,1.8,1.8,"1.4",1.4,6851.2,"Residential (Single Unit, Low Density)"
"44",470,103,"Brigantine City",1150,"3",4,4,4.9,4.9,"4.9",4.9,6851.2,"Mixed Residential"
"45",471,103,"Brigantine City",1200,"3",102.7,117.4,108.7,107.2,"106.9",106.9,6851.2,"Commercial and Services"
"46",472,103,"Brigantine City",1400,"3",41.7,52.1,33.8,33.8,"33.9",33.9,6851.2,"Transportation"
"47",476,103,"Brigantine City",1600,"3",2.9,2.9,3.6,3.6,"3.7",3.7,6851.2,"Mixed Urban or Built-up Land"
"48",477,103,"Brigantine City",1700,"3",36.3,34.3,19.5,15.2,"13.2",9,6851.2,"Other Urban or Built-up Land"
"49",505,104,"Buena Boro",1,"1",1151.2,1194.6,1279.7,1351.2,"1,405.6",1410.2,4845.8,"URBAN"
"50",511,104,"Buena Boro",11,"2",835.9,880.2,909.9,956,"1,002.1",1008,4845.8,"Residential (Total)"
"51",512,104,"Buena Boro",12,"2",86.6,92.1,95.6,114.6,"124.6",128.7,4845.8,"Commercial and Services"
"52",513,104,"Buena Boro",13,"2",51,46.4,56.6,53,"50.3",50.5,4845.8,"Industrial"
"53",514,104,"Buena Boro",14,"2",20.8,23.9,45.1,48.8,"59.6",61.9,4845.8,"Transportation/Communication/Utilities"
"54",515,104,"Buena Boro",16,"2",11.2,11.2,10.6,9.1,"9.1",9.1,4845.8,"Mixed Urban or Built-up Land"
"55",516,104,"Buena Boro",17,"2",120.9,114.5,119.4,119.1,"106.6",98,4845.8,"Other Urban or Built-up Land"
"56",532,104,"Buena Boro",1100,"3",3.6,0,0,0,".0",0,4845.8,"Residential (Other)"
"57",533,104,"Buena Boro",1110,"3",9.3,11.5,17.9,17.9,"17.9",17.9,4845.8,"Residential (High Density or Multiple Dwelling)"
"58",534,104,"Buena Boro",1120,"3",285.8,292.5,293.9,307,"303.5",304.4,4845.8,"Residential (Single Unit, Medium Density)"
"59",535,104,"Buena Boro",1130,"3",255.4,272.2,271.4,280,"292.8",296.5,4845.8,"Residential (Single Unit, Low Density)"
"60",536,104,"Buena Boro",1140,"3",281.8,304,326.8,351.1,"387.9",389.2,4845.8,"Residential (Rural, Single Unit)"
"61",537,104,"Buena Boro",1200,"3",86.6,92.1,95.6,114.6,"124.6",128.7,4845.8,"Commercial and Services"
"62",538,104,"Buena Boro",1300,"3",51,46.4,56.6,53,"50.3",50.5,4845.8,"Industrial"
"63",539,104,"Buena Boro",1400,"3",20.8,23.9,41.7,16.9,"21.1",21.1,4845.8,"Transportation"
"64",543,104,"Buena Boro",1600,"3",11.2,11.2,10.6,9.1,"9.1",9.1,4845.8,"Mixed Urban or Built-up Land"
"65",544,104,"Buena Boro",1700,"3",120.9,114.5,111.3,109.4,"96.9",88.3,4845.8,"Other Urban or Built-up Land"
"66",583,105,"Buena Vista Twp",1,"1",2820.6,3114.4,3421.4,3789.6,"3,934.7",3974.4,26607.8,"URBAN"
"67",589,105,"Buena Vista Twp",11,"2",1970.5,2185.3,2327.4,2622.7,"2,718.9",2738.3,26607.8,"Residential (Total)"
"68",590,105,"Buena Vista Twp",12,"2",120.3,138.5,166.3,167.1,"193.5",194.9,26607.8,"Commercial and Services"
"69",591,105,"Buena Vista Twp",13,"2",83.8,92.1,136.7,154.7,"167.9",178.7,26607.8,"Industrial"
"70",592,105,"Buena Vista Twp",14,"2",159.9,175.5,259.5,295.8,"310.9",321.7,26607.8,"Transportation/Communication/Utilities"
"71",593,105,"Buena Vista Twp",17,"2",166.5,197,197.6,224.6,"209.0",206,26607.8,"Other Urban or Built-up Land"
"72",613,105,"Buena Vista Twp",1100,"3",38,0,0,0,".0",0,26607.8,"Residential (Other)"
"73",614,105,"Buena Vista Twp",1110,"3",45,45.4,45.4,98.2,"98.6",98.6,26607.8,"Residential (High Density or Multiple Dwelling)"
"74",615,105,"Buena Vista Twp",1120,"3",355.5,393.4,394.9,334.8,"328.3",328.7,26607.8,"Residential (Single Unit, Medium Density)"
"75",616,105,"Buena Vista Twp",1130,"3",350.5,381.3,387,424.6,"413.6",413.3,26607.8,"Residential (Single Unit, Low Density)"
"76",617,105,"Buena Vista Twp",1140,"3",1181.5,1365.2,1500.2,1765,"1,878.5",1897.7,26607.8,"Residential (Rural, Single Unit)"
"77",618,105,"Buena Vista Twp",1200,"3",120.3,138.5,166.3,167.1,"193.5",194.9,26607.8,"Commercial and Services"
"78",619,105,"Buena Vista Twp",1300,"3",83.8,92.1,136.7,154.7,"167.9",178.7,26607.8,"Industrial"
"79",620,105,"Buena Vista Twp",1400,"3",151.2,165.3,196.3,141.2,"148.3",154.1,26607.8,"Transportation"
"80",629,105,"Buena Vista Twp",1700,"3",165,195.5,192.8,218.3,"202.7",199.6,26607.8,"Other Urban or Built-up Land"
"81",678,106,"Corbin City",1,"1",146.7,185.8,226.8,252,"259.9",259.8,5742.1,"URBAN"
"82",684,106,"Corbin City",11,"2",113.1,141.8,163,180.4,"190.7",190.2,5742.1,"Residential (Total)"
"83",685,106,"Corbin City",12,"2",13.6,17.8,24.2,22.6,"26.0",26.2,5742.1,"Commercial and Services"
"84",686,106,"Corbin City",13,"2",0,2.5,2.8,3.7,"5.3",5.4,5742.1,"Industrial"
"85",687,106,"Corbin City",14,"2",27.6,29.4,37,34,"34.1",34.3,5742.1,"Transportation/Communication/Utilities"
"86",688,106,"Corbin City",17,"2",10.1,12.2,6,14.9,"5.8",5.8,5742.1,"Other Urban or Built-up Land"
"87",705,106,"Corbin City",1120,"3",21.8,22.4,18.2,18.4,"19.2",19.3,5742.1,"Residential (Single Unit, Medium Density)"
"88",706,106,"Corbin City",1130,"3",49.5,54.2,49.1,44.3,"47.1",46.5,5742.1,"Residential (Single Unit, Low Density)"
"89",707,106,"Corbin City",1140,"3",41.8,65.3,95.7,117.7,"124.4",124.5,5742.1,"Residential (Rural, Single Unit)"
"90",708,106,"Corbin City",1200,"3",13.6,17.8,24.2,22.6,"26.0",26.2,5742.1,"Commercial and Services"
"91",709,106,"Corbin City",1300,"3",0,2.5,2.8,3.7,"5.3",5.4,5742.1,"Industrial"
"92",710,106,"Corbin City",1400,"3",10.7,12.4,27.1,16.5,"16.7",16.8,5742.1,"Transportation"
"93",714,106,"Corbin City",1700,"3",9.2,11.3,6,14.6,"5.8",5.8,5742.1,"Other Urban or Built-up Land"
