city,state,geoid,Total housing units,Vacant housing units,Occupied housing units,Owner occupied housing units,Renter occupied housing units,Median gross rent,Total households,Family households,Family households - Married couple family,Family households - Other family,"Family households - Other family - M householder,no wife","Family households - Other family - F householder,no husband",Nonfamily households,Nonfamily households - Householder living alone,Nonfamily households - Householder not living alone,Total household population,In family households,In family households - married couple,In family households - married couple - Relatives,In family households - married couple - Nonrelatives,"In family households - M householder,no wife","In family households - M householder,no wife - Relatives","In family households - M householder,no wife - Nonrelatives","In family households - F householder,no husband","In family households - F householder,no husband - Relatives","In family households - F householder,no husband - Nonrelatives",In nonfamily households
"Absecon","New Jersey","16000US3400100",3326.0,187.0,3139.0,2554.0,585.0,1334.0,3139.0,2174.0,1741.0,433.0,202.0,231.0,965.0,698.0,267.0,8220.0,6725.0,5328.0,5305.0,23.0,758.0,611.0,147.0,639.0,628.0,11.0,1495.0
"Allamuchy","New Jersey","16000US3400640",39.0,0.0,39.0,28.0,11.0,,39.0,39.0,0.0,39.0,0.0,39.0,0.0,0.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,0.0,0.0
"Allendale","New Jersey","16000US3400700",2287.0,282.0,2005.0,1802.0,203.0,2001.0,2005.0,1738.0,1563.0,175.0,22.0,153.0,267.0,254.0,13.0,6303.0,6019.0,5572.0,5572.0,0.0,72.0,72.0,0.0,375.0,375.0,0.0,284.0
"Allenhurst","New Jersey","16000US3400730",356.0,126.0,230.0,145.0,85.0,1054.0,230.0,118.0,85.0,33.0,13.0,20.0,112.0,95.0,17.0,526.0,387.0,293.0,289.0,4.0,33.0,33.0,0.0,61.0,61.0,0.0,139.0
"Allentown","New Jersey","16000US3400760",727.0,36.0,691.0,533.0,158.0,1213.0,691.0,521.0,384.0,137.0,23.0,114.0,170.0,128.0,42.0,1856.0,1642.0,1233.0,1231.0,2.0,68.0,64.0,4.0,341.0,323.0,18.0,214.0
"Allenwood","New Jersey","16000US3400790",280.0,0.0,280.0,229.0,51.0,2001.0,280.0,248.0,197.0,51.0,0.0,51.0,32.0,32.0,0.0,865.0,833.0,612.0,612.0,0.0,0.0,0.0,0.0,221.0,221.0,0.0,32.0
"Alloway","New Jersey","16000US3400850",527.0,61.0,466.0,409.0,57.0,1644.0,466.0,384.0,374.0,10.0,0.0,10.0,82.0,73.0,9.0,1438.0,1349.0,1331.0,1314.0,17.0,0.0,0.0,0.0,18.0,18.0,0.0,89.0
"Alpha","New Jersey","16000US3401030",1035.0,30.0,1005.0,715.0,290.0,1048.0,1005.0,682.0,487.0,195.0,54.0,141.0,323.0,248.0,75.0,2471.0,2045.0,1506.0,1494.0,12.0,157.0,152.0,5.0,382.0,382.0,0.0,426.0
"Alpine","New Jersey","16000US3401090",740.0,72.0,668.0,617.0,51.0,2001.0,668.0,579.0,510.0,69.0,16.0,53.0,89.0,70.0,19.0,2003.0,1892.0,1686.0,1677.0,9.0,64.0,41.0,23.0,142.0,142.0,0.0,111.0
"Anderson","New Jersey","16000US3401300",127.0,0.0,127.0,94.0,33.0,,127.0,116.0,105.0,11.0,0.0,11.0,11.0,11.0,0.0,361.0,350.0,328.0,319.0,9.0,0.0,0.0,0.0,22.0,22.0,0.0,11.0
"Andover","New Jersey","16000US3401330",381.0,57.0,324.0,214.0,110.0,1319.0,324.0,231.0,196.0,35.0,0.0,35.0,93.0,64.0,29.0,816.0,694.0,585.0,582.0,3.0,0.0,0.0,0.0,109.0,106.0,3.0,122.0
"Annandale","New Jersey","16000US3401480",616.0,36.0,580.0,319.0,261.0,1606.0,580.0,444.0,351.0,93.0,0.0,93.0,136.0,124.0,12.0,1460.0,1309.0,1110.0,1102.0,8.0,0.0,0.0,0.0,199.0,199.0,0.0,151.0
"Asbury","New Jersey","16000US3401900",127.0,17.0,110.0,104.0,6.0,,110.0,106.0,93.0,13.0,7.0,6.0,4.0,0.0,4.0,293.0,285.0,241.0,241.0,0.0,32.0,32.0,0.0,12.0,12.0,0.0,8.0
"Asbury Park","New Jersey","16000US3401960",8359.0,1621.0,6738.0,1459.0,5279.0,989.0,6738.0,3051.0,965.0,2086.0,533.0,1553.0,3687.0,3004.0,683.0,15832.0,11171.0,3220.0,3190.0,30.0,2088.0,1707.0,381.0,5863.0,5565.0,298.0,4661.0
"Ashland","New Jersey","16000US3401990",3176.0,118.0,3058.0,2878.0,180.0,2001.0,3058.0,2033.0,1721.0,312.0,41.0,271.0,1025.0,891.0,134.0,7987.0,6798.0,5695.0,5660.0,35.0,149.0,121.0,28.0,954.0,830.0,124.0,1189.0
"Atlantic City","New Jersey","16000US3402080",20780.0,5059.0,15721.0,4847.0,10874.0,811.0,15721.0,8362.0,3706.0,4656.0,1084.0,3572.0,7359.0,6408.0,951.0,38736.0,29956.0,13167.0,12737.0,430.0,3463.0,3113.0,350.0,13326.0,12677.0,649.0,8780.0
"Atlantic Highlands","New Jersey","16000US3402110",1856.0,88.0,1768.0,1391.0,377.0,1379.0,1768.0,1092.0,924.0,168.0,12.0,156.0,676.0,602.0,74.0,4380.0,3626.0,3081.0,3073.0,8.0,35.0,35.0,0.0,510.0,391.0,119.0,754.0
"Audubon","New Jersey","16000US3402200",3881.0,248.0,3633.0,2725.0,908.0,925.0,3633.0,2290.0,1801.0,489.0,118.0,371.0,1343.0,1105.0,238.0,8821.0,7182.0,5741.0,5718.0,23.0,362.0,301.0,61.0,1079.0,1054.0,25.0,1639.0
"Audubon Park","New Jersey","16000US3402230",489.0,9.0,480.0,105.0,375.0,747.0,480.0,263.0,144.0,119.0,30.0,89.0,217.0,199.0,18.0,1006.0,767.0,400.0,400.0,0.0,96.0,65.0,31.0,271.0,256.0,15.0,239.0
"Avalon","New Jersey","16000US3402320",5356.0,4319.0,1037.0,953.0,84.0,1577.0,1037.0,706.0,645.0,61.0,15.0,46.0,331.0,305.0,26.0,2082.0,1738.0,1562.0,1562.0,0.0,28.0,28.0,0.0,148.0,146.0,2.0,344.0
"Avenel","New Jersey","16000US3402350",5397.0,239.0,5158.0,2820.0,2338.0,1209.0,5158.0,3777.0,2780.0,997.0,297.0,700.0,1381.0,1155.0,226.0,14112.0,12481.0,9130.0,9107.0,23.0,1063.0,917.0,146.0,2288.0,2208.0,80.0,1631.0
"Avon By The Sea","New Jersey","16000US3402440",1315.0,372.0,943.0,589.0,354.0,1167.0,943.0,470.0,366.0,104.0,31.0,73.0,473.0,384.0,89.0,1967.0,1333.0,1065.0,1065.0,0.0,69.0,69.0,0.0,199.0,199.0,0.0,634.0
"Barclay","New Jersey","16000US3402880",1612.0,108.0,1504.0,1471.0,33.0,2001.0,1504.0,1232.0,1153.0,79.0,15.0,64.0,272.0,223.0,49.0,4192.0,3870.0,3532.0,3518.0,14.0,48.0,48.0,0.0,290.0,290.0,0.0,322.0
"Barnegat","New Jersey","16000US3403040",1116.0,80.0,1036.0,624.0,412.0,1467.0,1036.0,756.0,574.0,182.0,56.0,126.0,280.0,210.0,70.0,3286.0,2934.0,2312.0,2312.0,0.0,245.0,185.0,60.0,377.0,342.0,35.0,352.0
"Barnegat Light","New Jersey","16000US3403130",1252.0,986.0,266.0,246.0,20.0,,266.0,159.0,156.0,3.0,0.0,3.0,107.0,84.0,23.0,536.0,405.0,400.0,400.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,131.0
