ID,ADDRESS,CITY,ST,ZIP,Longitude,Latitude,Match Score
Monmouth Museum & Cultural Center,765 Newman Springs Rd,Lincroft,NJ,07738,-74.12846203620008,40.324837998638316,100
Oakeside Bloomfield Cultural Center,240 Belleville Ave,Bloomfield,NJ,07003,-74.19030170617175,40.79941498618534,100
Seabrook Educational & Cultural Center,1325 Rt. 77,Seabrook,NJ,08302,-75.21531383284139,39.497223924611404,98.1
Ukranian American Cultural Center of New Jersey,60 N Jefferson Rd,Whippany,NJ,07987,-74.42801549771205,40.836858121136366,98.28
Afro Brazilian Cultural Center of New Jersey,554 Bloomfield Ave,Bloomfield,NJ,07003,-74.19722859477497,40.79261655024838,100
Turkish Cultural Center NJ,420 Kuller Rd,Clifton,NJ,07011,-74.16348481279023,40.88056991383467,100
New Brunswick Cultural Center,7 Livingston Ave,New Brunswick,NJ,08901,-74.44405948852554,40.49343420023848,100
Albanian Cultural Center,89 Ackerman Ave,Clifton,NJ,07011,-74.12382361156106,40.878404683719054,100
Paul Robeson Cultural Center,600 Bartholomew Rd,Piscataway,NJ,08854,-74.45759993584939,40.52049126088932,100
The Asian American Cultural Center,49 Joyce Kilmer Ave,Piscataway,NJ,08854,-74.43697925034562,40.52489597966161,100
African American Cultural & Learning Center,460-474 Spring St,Elizabeth,NJ,07201,-74.20258312216153,40.66943719082955,99
Center for Latino Arts and Culture,172 College Ave,New Brunswick,NJ,08901,-74.45320294911663,40.504474044080986,100
The Brazilian Cultural Center of Newark,29 Backus St,Newark,NJ,07105,-74.15482848610489,40.719105834476224,100
Culture Hall,2 Friends Ave,Medford,NJ,08055,-74.82403888126092,39.898485494730274,100
Woorigarak Korean Cultural Art Center,460 Sylvan Ave #103,Englewood Cliffs,NJ,07632,-73.95202657857547,40.87738743092743,100
Ukranian History and Education Center of NJ,135 Davidson Ave,Somerset,NJ,08873,-74.52051038491373,40.540461505646746,100
Hackensack Cultural Arts Center,39 Broadway,Hackensack,NJ,07601,-74.0443888651414,40.874593994056085,100
Marathi Vishwa Community Center (MVCC),143 NJ-35,Laurence Harbor,NJ,08879,-74.24482967272709,40.45537365819145,99.9
T Thomas Fortune Cultural Center,94 Drs James Parker Blvd,Red Bank,NJ,07701,-74.07238375119512,40.341587262387264,100
Fellowship Cultural Arts Center,8000 Fellowship Rd,Basking Ridge,NJ,07920,-74.58276881732003,40.657215627206924,100
Italian Cultural Foundation of South Jersey,468 Wheat Rd,Vineland,NJ,08360,-74.98098155249886,39.51305985428089,100
ISKCON of Central New Jersey,1020 W 7th St,Plainfield,NJ,07063,-74.43389416318381,40.600520155065055,100
Centro Cultural William V Musto,420 15th St,Union City,NJ,07087,-74.03581669276383,40.76152593398542,100
Indian Cultural Center of South Jersey,820 NJ-73,Marlton,NJ,08053,-74.93870499999997,39.89801500000004,86.67
Vernon Nordic House,233 NJ-94,Vernon Township,NJ,07462,-74.49767573480388,41.192123368937644,100
Bharatiya Kala Kendra LLC,12 Ellis Ct,Morganville,NJ,07751,-74.26207761944366,40.37256354949095,100
