ID,ADDRESS,CITY,ST,ZIP,Longitude,Latitude,Match Score
1, 616 Whitehorse Pike,Absecon,NJ,08201,-74.51207022858388,39.4326490300862,99
2, 603 White Horse Pike,Absecon,NJ,08202,-74.51218344590403,39.43261251367628,98.39
3, 636 White Horse Pike,Absecon,NJ,08203,-74.51503105206169,39.43469760913176,98.39
4, 616 Whitehorse Pike,Absecon,NJ,08204,-74.51207022858388,39.4326490300862,97.39
5,10 Renaissance Plaza,Atlantic City,NJ,08401,-74.43067405489396,39.362044536940246,100
6, 3218 Atlantic Avenue,Atlantic City,NJ,08401,-74.45043046700322,39.353056028184,100
7, 1723 Pacific Avenue,Atlantic City,NJ,08401,-74.43197963500025,39.35861742094101,100
8, 1101 Atlantic Avenue,Atlantic City,NJ,08401,-74.42475435064395,39.36354522563685,100
9, 3313 Brigantine Boulevard,Brigantine,NJ,08203,-74.38869104459356,39.39487749216842,100
10, 4238 Harbor Beach Boulevard,Brigantine,NJ,08203,-74.39748453274828,39.39332421708237,100
11, 1006 White Horse Pike,Egg Harbor City,NJ,08215,-74.64318280790158,39.52572436515495,100
12, 3007 Ocean Heights Avenue,Egg Harbor Township,NJ,08234,-74.6176470884205,39.36183322191316,100
13, 3003 English Creek Avenue,Egg Harbor Township,NJ,08234,-74.61345697502301,39.4332089831276,100
14, 6815 Tilton Road,Egg Harbor Township,NJ,08234,-74.55861522585823,39.39153571204566,100
15, 6103 West Jersey Avenue,Egg Harbor Township,NJ,08234,-74.61700696247493,39.41940826336816,100
16, 6050 Black Horse Pike,Egg Harbor Township,NJ,08234,-74.60888900543034,39.433907069933746,100
17, 2247 Ocean Heights Avenue,Egg Harbor Township,NJ,08234,-74.61936529475248,39.36420261830279,100
18, 6801 Black Horse Pike,Egg Harbor Township,NJ,08234,-74.55333601429749,39.39610699163569,100
19, 3003 English Creek Avenue,Egg Harbor Twp,NJ,08234,-74.61345697502301,39.4332089831276,100
20, 401 South Pitney Road,Galloway,NJ,08205,-74.4941966172262,39.46245066620396,99.9
21, 327 South Pitney Road,Galloway,NJ,08205,-74.49384792981478,39.46469583415174,99.9
22, 401 South Pitney Road,Galloway,NJ,08205,-74.4941966172262,39.46245066620396,99.9
23," 80 S White Horse Pike,  Suite C1",Hammonton,NJ,08009,-74.78674171840196,39.64622300675804,98.75
24, 11 S Whitehorse Pike,Hammonton,NJ,08021,-74.7881024772245,39.647211250684904,97.48
25, 80 South Whitehorse Pike,Hammonton,NJ,08009,-74.78674171840196,39.64622300675804,97.65
26, 55 South White Horse Pike,Hammonton,NJ,08084,-74.7848689904366,39.64848400077247,98.65
27, 9301 Ventnor Avenue,Margate City,NJ,08402,-74.51399354875443,39.32244447509638,100
28," 6056 Harding Hwy,  Suite D",Mays Landing,NJ,08330,-74.73477806650789,39.44795342136533,100
29, 380 Consumer Square,Mays Landing,NJ,08330,-74.63231896905907,39.45196301064489,100
30, 4454 Black Horse Pike,Mays Landing,NJ,08330,-74.64750284079825,39.45234570626719,100
31, 4620 Black Horse Pike,Mays Landing,NJ,08330,-74.65132968251221,39.45375353072427,100
32," 108 Swedesboro Road,  Suite 20",Mullica Hill,NJ,08062,-75.2258008509992,39.74334971036013,100
33, 143 Bridgeton Pike,Mullica Hill,NJ,08062,-75.21964033226185,39.723168888482306,100
34, 1337A New Road,Northfield,NJ,08225,-74.55471751957887,39.374076584062614,100
35, 1315 New Road,Northfield,NJ,08225,-74.55380548469448,39.375013471290146,100
36, 900 N. New Road,Pleasantville,NJ,08232,-74.52013427720003,39.40788514498394,100
37,857 N Main Street,Pleasantville,NJ,08232,-74.51195170847332,39.40366365453405,100
38, 505 W Black Horse Pike,Pleasantville,NJ,08232,-74.53223666852914,39.391655320949575,100
